entry_time,exit_time,side,entry_price,exit_price,size_usd,entry_prob,hold_candles,price_change_pct,leveraged_pnl_pct,pnl_usd,fee_usd,net_pnl,exit_reason,balance_after
2025-10-30 04:10:00,2025-10-30 05:35:00,LONG,109942.7,109326.8,4249.41943359375,0.7549729,17,-0.5602009046530521,-2.2408036186122082,-95.22114443797915,3.3995354175567627,-98.62067985553591,ML Exit (0.765),9901.379320144464
2025-10-30 05:45:00,2025-10-30 10:40:00,SHORT,110195.1,109858.6,3554.8439058595663,0.7242117,59,0.3063028292732639,1.2252113170930556,43.55434983958422,2.8438751246876532,40.71047471489656,ML Exit (0.825),9942.089794859361
2025-10-30 10:50:00,2025-10-30 13:40:00,LONG,110063.5,107426.6,3250.600171914584,0.7092449,34,-2.395798788880954,-9.583195155523816,-311.5113582003672,2.600480137531667,-314.1118383378989,Emergency Stop Loss,9627.977956521463
2025-10-30 13:40:00,2025-10-30 14:50:00,LONG,107426.6,108224.4,6676.956059332775,0.8802977,14,0.7426466070786786,2.9705864283147143,198.34475052307639,5.341564847466221,193.00318567561015,ML Exit (0.753),9820.981142197073
2025-10-30 15:45:00,2025-10-31 01:45:00,LONG,107409.0,109656.0,3451.647006047364,0.72067964,120,2.0920034633969298,8.368013853587719,288.83429964298915,2.7613176048378913,286.0729820381513,Emergency Max Hold,10107.054124235225
2025-10-31 12:00:00,2025-10-31 13:40:00,SHORT,110525.5,109568.2,3723.8035848061545,0.7286035,20,0.8737024063551369,3.4948096254205474,130.13984611356088,2.9790428678449237,127.16080324571595,ML Exit (0.754),10234.21492748094
2025-10-31 17:40:00,2025-11-01 03:40:00,LONG,109232.7,110126.0,3481.262744964013,0.7154076,120,0.8177954037573043,3.2711816150292172,113.87842688412427,2.7850101959712106,111.09341668815306,Emergency Max Hold,10345.308344169092
2025-11-01 04:00:00,2025-11-01 14:00:00,SHORT,110315.5,109914.7,3905.4349618971014,0.73283696,120,0.3646464030743868,1.4585856122975471,56.96411245186931,3.1243479695176815,53.83976448235163,Emergency Max Hold,10399.148108651443
2025-11-01 15:05:00,2025-11-02 01:05:00,LONG,110283.0,109866.6,3281.2221502634334,0.70391303,120,-0.37757405946519107,-1.5102962378607643,-49.556174691282706,2.624977720210747,-52.18115241149345,Emergency Max Hold,10346.96695623995
2025-11-02 02:35:00,2025-11-02 12:00:00,LONG,110050.8,111145.7,3453.2765763207876,0.7124156,113,0.9949041715280549,3.9796166861122195,137.42717084886684,2.7626212610566303,134.6645495878102,ML Exit (0.801),10481.631505827761
2025-11-02 13:20:00,2025-11-02 23:20:00,LONG,110209.9,110155.3,4361.603306202675,0.7508554,120,-0.049541828819366085,-0.19816731527746434,-8.643272174954964,3.4892826449621404,-12.132554819917104,Emergency Max Hold,10469.498951007845
2025-11-02 23:20:00,2025-11-03 00:10:00,LONG,110155.3,110632.4,5615.77080460914,0.8069836,10,0.4331157919773121,1.7324631679092484,97.2911607840542,4.492616643687312,92.79854414036689,ML Exit (0.766),10562.297495148212
2025-11-03 00:10:00,2025-11-03 01:35:00,LONG,110632.4,109602.1,5661.436926884622,0.806802,17,-0.9312823368199497,-3.7251293472797986,-210.89584844111462,4.529149541507698,-215.42499798262233,End of Period,10346.87249716559
