entry_time,exit_time,side,entry_price,exit_price,entry_prob,exit_prob,hold_candles,pnl,balance,exit_reason
2025-10-03 21:55:00,2025-10-03 23:10:00,SHORT,122248.3,122239.3,0.8100906,0.92773616,15,2.7975849152912553,10002.797584915292,ML Exit
2025-10-03 23:30:00,2025-10-03 23:45:00,SHORT,122226.4,122175.8,0.8060786,0.9682567,3,15.735863280168443,10018.53344819546,ML Exit
2025-10-04 01:05:00,2025-10-04 01:20:00,SHORT,122063.6,121955.4,0.8025162,0.82370204,3,33.746507661256,10052.279955856715,ML Exit
2025-10-04 01:45:00,2025-10-04 01:50:00,SHORT,121725.7,121655.7,0.8130607,0.99408555,1,21.96665509631808,10074.246610953032,ML Exit
2025-10-04 01:55:00,2025-10-04 02:15:00,SHORT,121820.8,121695.3,0.81404996,0.9663041,4,39.4383242333288,10113.684935186362,ML Exit
2025-10-04 02:20:00,2025-10-04 02:30:00,SHORT,121689.6,121699.8,0.82530177,0.9173666,2,-3.2213634368730895,10110.46357174949,ML Exit
2025-10-04 02:35:00,2025-10-04 05:20:00,SHORT,121688.8,122670.5,0.81144804,0.56754583,33,-309.9437247788497,9800.51984697064,Stop Loss
2025-10-04 16:35:00,2025-10-04 16:45:00,SHORT,121795.5,121600.0,0.87409675,0.9735561,2,59.778942525089086,9860.298789495728,ML Exit
2025-10-04 16:50:00,2025-10-04 18:45:00,SHORT,121655.9,121556.9,0.88032055,0.87955296,23,30.49128241711493,9890.790071912843,ML Exit
2025-10-04 18:50:00,2025-10-04 18:55:00,SHORT,121546.0,121545.3,0.84157807,0.8805533,1,0.21645715688857534,9891.006529069731,ML Exit
2025-10-04 19:10:00,2025-10-04 20:55:00,SHORT,121765.5,121837.9,0.8296887,0.8506544,21,-22.34798622169207,9868.65854284804,ML Exit
2025-10-04 21:00:00,2025-10-05 00:50:00,SHORT,121926.0,122145.5,0.87987447,0.7667079,46,-67.51183579047577,9801.146707057564,ML Exit
2025-10-05 08:25:00,2025-10-05 09:10:00,SHORT,124719.0,124369.9,0.8175537,0.9645511,9,104.25039648047724,9905.39710353804,ML Exit
2025-10-05 09:15:00,2025-10-05 09:20:00,SHORT,124323.1,124390.4,0.8234474,0.96841395,1,-20.375990103676465,9885.021113434364,ML Exit
2025-10-05 12:10:00,2025-10-05 12:35:00,SHORT,123106.6,122939.9,0.8174719,0.76826197,5,50.864579758652816,9935.885693193017,ML Exit
2025-10-05 12:40:00,2025-10-05 14:35:00,SHORT,122994.0,122993.0,0.88703245,0.91310483,23,0.3069772967310069,9936.192670489747,ML Exit
2025-10-05 14:45:00,2025-10-05 14:50:00,SHORT,122839.6,122899.8,0.8036209,0.85593754,1,-18.503832927664405,9917.688837562082,ML Exit
2025-10-05 14:55:00,2025-10-05 15:05:00,SHORT,122990.1,122800.7,0.9162364,0.9374063,2,58.03685833388631,9975.725695895968,ML Exit
