Strategy,Avg Return (%),Avg Trades,Avg LONG,Avg SHORT,Win Rate (%)
4. Opportunity Gating,2.8219447133372975,4.957446808510638,4.319148936170213,0.6382978723404256,71.47799009501136
3. Asymmetric Time,2.6469948320901198,5.659574468085107,4.574468085106383,1.0851063829787233,68.3434650455927
5. Hybrid Sizing,2.539750242003568,4.957446808510638,4.319148936170213,0.6382978723404256,71.47799009501136
2. Signal Fusion,2.4391919800656385,6.1063829787234045,5.680851063829787,0.425531914893617,57.371653169525516
1. LONG-only (Baseline),1.8643115854119023,4.9787234042553195,4.9787234042553195,0.0,68.62598394513289
