entry_time,exit_time,side,entry_price,exit_price,position_size_pct,pnl_pct,pnl_usd,exit_reason,hold_time
2025-07-02 15:10:00,2025-07-02 16:05:00,LONG,108313.1,109491.5,0.6490411162376404,4.351828172215527,282.4515401703473,ML_EXIT,11
2025-07-02 16:35:00,2025-07-02 17:45:00,SHORT,109470.3,108835.8,0.8225541114807129,2.31843705553013,196.09045688381747,ML_EXIT,14
2025-07-02 17:50:00,2025-07-02 17:55:00,SHORT,109131.2,109093.6,0.888445258140564,0.1378157667101297,12.830111707796744,ML_EXIT,1
2025-07-02 17:55:00,2025-07-02 18:05:00,SHORT,109093.6,109025.3,0.7359851598739624,0.2504271561301594,19.336718282635502,ML_EXIT,2
2025-07-02 18:10:00,2025-07-02 18:15:00,SHORT,109079.8,109144.1,0.6900920867919922,-0.23579067801738876,-17.102739621305595,ML_EXIT,1
2025-07-02 18:15:00,2025-07-02 18:20:00,SHORT,109144.1,109214.2,0.95,-0.25690806924054077,-25.610974753261683,ML_EXIT,1
2025-07-02 18:20:00,2025-07-02 20:20:00,SHORT,109214.2,109198.0,0.95,0.05933294388457578,5.900421182738612,ML_EXIT,24
2025-07-02 20:20:00,2025-07-02 20:45:00,SHORT,109198.0,109199.6,0.95,-0.0058609132035598475,-0.5831726299571101,ML_EXIT,5
2025-07-02 20:45:00,2025-07-02 20:50:00,SHORT,109199.6,109182.3,0.95,0.06337019549523225,6.305110592226559,ML_EXIT,1
2025-07-02 20:50:00,2025-07-02 20:55:00,SHORT,109182.3,109090.7,0.95,0.33558552988902346,33.40967583197652,ML_EXIT,1
2025-07-02 20:55:00,2025-07-02 21:00:00,SHORT,109090.7,109114.2,0.7809385061264038,-0.08616683181976098,-7.074320774013549,ML_EXIT,1
2025-07-02 21:00:00,2025-07-02 21:05:00,SHORT,109114.2,109134.3,0.95,-0.07368426840871609,-7.354172755853886,ML_EXIT,1
2025-07-02 21:05:00,2025-07-02 21:10:00,SHORT,109134.3,109157.9,0.95,-0.08649892838453636,-8.627116564644455,ML_EXIT,1
2025-07-02 21:10:00,2025-07-02 21:15:00,SHORT,109157.9,109255.2,0.95,-0.35654771665634066,-35.531666295291295,ML_EXIT,1
2025-07-02 21:15:00,2025-07-02 21:20:00,SHORT,109255.2,109229.2,0.95,0.09518997722762854,9.453999986089562,ML_EXIT,1
2025-07-02 21:20:00,2025-07-02 21:25:00,SHORT,109229.2,109174.9,0.95,0.19884792711107618,19.76687425516673,ML_EXIT,1
2025-07-02 21:25:00,2025-07-02 21:30:00,SHORT,109174.9,109293.7,0.95,-0.43526488231270344,-43.35010892565913,ML_EXIT,1
2025-07-02 21:30:00,2025-07-02 21:35:00,SHORT,109293.7,109277.9,0.95,0.057825839915760596,5.735337449642081,ML_EXIT,1
2025-07-02 21:35:00,2025-07-02 21:40:00,SHORT,109277.9,109195.9,0.95,0.3001521808160662,29.7863330600734,ML_EXIT,1
2025-07-02 21:40:00,2025-07-02 21:45:00,SHORT,109195.9,109299.2,0.95,-0.37840248580762803,-37.65876936608691,ML_EXIT,1
2025-07-02 21:45:00,2025-07-02 22:00:00,SHORT,109299.2,109287.9,0.95,0.04135437404849408,4.100809262187273,ML_EXIT,3
2025-07-02 22:00:00,2025-07-02 22:05:00,SHORT,109287.9,109185.1,0.95,0.37625391283019755,37.32499252802247,ML_EXIT,1
2025-07-02 22:05:00,2025-07-02 22:10:00,SHORT,109185.1,109236.9,0.95,-0.18976948319867218,-18.892727432479564,ML_EXIT,1
2025-07-02 22:10:00,2025-07-02 22:15:00,SHORT,109236.9,109230.2,0.95,0.024533834262953597,2.4380918017930986,ML_EXIT,1
2025-07-02 22:15:00,2025-07-02 22:20:00,SHORT,109230.2,109239.9,0.95,-0.03552131187161459,-3.5308139487499988,ML_EXIT,1
2025-07-02 22:20:00,2025-07-02 22:25:00,SHORT,109239.9,109227.6,0.95,0.04503848868403709,4.475309417298396,ML_EXIT,1
