System,Returns,Win Rate,Sharpe,Avg Hold (h)
Rule-based,1.2847839712838829,70.90277777777777,12.17497207950009,3.924503968253968
ML-based,1.271283630774986,71.23702686202687,12.270041334765718,3.9655671296296293
