entry_time,exit_time,side,entry_price,exit_price,entry_prob,exit_prob,hold_candles,pnl,balance,exit_reason
2025-09-29 03:45:00,2025-09-29 13:45:00,LONG,111696.0,113284.5,0.86216354,0.21058935,120,540.4222174473571,10540.422217447358,Max Hold
2025-09-29 23:40:00,2025-09-30 09:40:00,SHORT,114181.3,112947.1,0.84338045,0.07899318,120,432.94443646148085,10973.366653908839,Max Hold
2025-09-30 09:45:00,2025-09-30 19:45:00,LONG,112855.8,114278.0,0.8875211,0.29652563,120,525.4849445905186,11498.851598499357,Max Hold
2025-10-01 04:20:00,2025-10-01 14:20:00,LONG,114408.5,117091.1,0.8512346,0.17238165,120,1024.5559843273086,12523.407582826665,Max Hold
2025-10-01 17:45:00,2025-10-02 03:45:00,LONG,116960.9,118736.9,0.8612148,0.22043437,120,722.6173284831135,13246.024911309778,Max Hold
2025-10-02 05:15:00,2025-10-02 15:15:00,LONG,118409.0,119077.9,0.8686848,0.44534114,120,284.3450332328212,13530.3699445426,Max Hold
2025-10-02 19:00:00,2025-10-03 05:00:00,SHORT,120593.3,119902.1,0.81811535,0.0061096735,120,294.6957126269673,13825.065657169567,Max Hold
2025-10-03 16:10:00,2025-10-04 02:10:00,SHORT,123063.1,121829.5,0.8421049,0.021695197,120,526.6199517142095,14351.685608883778,Max Hold
2025-10-04 16:35:00,2025-10-05 02:35:00,LONG,121795.5,123808.8,0.89165944,0.07741571,120,901.495907633614,15253.181516517392,Max Hold
2025-10-05 04:45:00,2025-10-05 14:45:00,SHORT,125271.1,122839.6,0.91198,0.009194402,120,1125.0385863791867,16378.22010289658,Max Hold
2025-10-05 14:50:00,2025-10-06 00:50:00,LONG,122899.8,123119.7,0.90190274,0.027671644,120,111.35875145754572,16489.578854354124,Max Hold
2025-10-06 04:40:00,2025-10-06 14:40:00,LONG,123676.9,124680.3,0.90301746,0.03990586,120,508.36853935815395,16997.94739371228,Max Hold
2025-10-06 18:40:00,2025-10-07 04:40:00,SHORT,125405.4,124536.0,0.81370896,0.005243182,120,447.7993672007326,17445.74676091301,Max Hold
2025-10-07 04:45:00,2025-10-07 14:45:00,SHORT,124478.9,122779.5,0.8790225,0.020734427,120,905.0509586193546,18350.797719532366,Max Hold
2025-10-07 14:50:00,2025-10-08 00:50:00,SHORT,122633.8,121950.2,0.8927105,0.025222663,120,388.7142061982523,18739.511925730618,Max Hold
2025-10-08 03:10:00,2025-10-08 13:10:00,LONG,121687.3,122604.4,0.86554974,0.029937558,120,536.6774040588629,19276.189329789482,Max Hold
2025-10-08 14:00:00,2025-10-08 17:55:00,SHORT,123026.9,123998.7,0.9084189,0.003195322,47,-578.6042158635225,18697.58511392596,Stop Loss
2025-10-08 18:00:00,2025-10-09 04:00:00,SHORT,123828.9,121952.1,0.9251114,0.045877535,120,1076.874505215672,19774.459619141635,Max Hold
2025-10-09 04:05:00,2025-10-09 12:00:00,SHORT,121885.6,122936.0,0.93975013,0.0004176212,95,-647.5756862090007,19126.883932932633,Stop Loss
2025-10-09 12:05:00,2025-10-09 22:05:00,SHORT,122972.8,121481.0,0.9175572,0.00070522306,120,881.7172961367556,20008.601229069387,Max Hold
2025-10-09 22:50:00,2025-10-10 08:50:00,SHORT,121611.1,121419.5,0.8019748,0.0021247913,120,119.79056502951853,20128.391794098905,Max Hold
2025-10-10 13:35:00,2025-10-10 23:35:00,SHORT,122363.2,114245.7,0.8308128,0.10416568,120,5074.1598575116695,25202.551651610574,Max Hold
2025-10-10 23:40:00,2025-10-11 09:40:00,SHORT,114520.9,111785.6,0.941835,0.024805743,120,2287.4326889159133,27489.984340526487,Max Hold
2025-10-11 09:50:00,2025-10-11 19:50:00,LONG,111599.0,110866.1,0.8561517,0.022306565,120,-686.0290521245931,26803.955288401896,Max Hold
2025-10-11 19:55:00,2025-10-12 05:55:00,SHORT,111136.8,111648.2,0.85629714,0.0061993296,120,-468.6896004838773,26335.265687918018,Max Hold
