exit_threshold,trades,trades_per_day,return_pct,win_rate,profit_factor,avg_hold_candles,long_trades,short_trades,ml_exit_pct,stop_loss_pct,max_hold_pct
0.6,1,0.03571428571428571,9.535797468732065,100.0,inf,111.0,1,0,100.0,0.0,0.0
0.65,1,0.03571428571428571,9.535797468732065,100.0,inf,111.0,1,0,100.0,0.0,0.0
0.7,1,0.03571428571428571,9.535797468732065,100.0,inf,111.0,1,0,100.0,0.0,0.0
0.75,1,0.03571428571428571,10.952293040784829,100.0,inf,119.0,1,0,100.0,0.0,0.0
