window,total_trades,long_trades,short_trades,avg_leveraged_return,total_return_pct,win_rate,final_capital,avg_position_size
0,666,326,340,0.0,-78.59115836143101,0.0,2140.8841638568983,57.789803
1,514,238,276,0.0,-67.61746040458759,0.0,3238.253959541241,54.77968
2,354,179,175,0.0,-52.727125579359615,0.0,4727.287442064039,52.85396
3,423,182,241,0.0,-59.53869652246573,0.0,4046.1303477534275,53.417843
4,500,241,259,0.0,-65.75824765676076,0.0,3424.1752343239236,53.527187
5,365,201,164,0.0,-54.08196068912963,0.0,4591.803931087037,53.25083
6,448,237,211,0.0,-61.68379444287042,0.0,3831.620555712958,53.47362
7,615,274,341,0.0,-73.46194786309752,0.0,2653.805213690248,53.86703
8,492,224,268,0.0,-65.16238750690327,0.0,3483.761249309673,53.52213
9,374,165,209,0.0,-55.46519736861559,0.0,4453.480263138441,54.01105
10,341,155,186,0.0,-52.013014462595244,0.0,4798.698553740475,53.77082
11,286,120,166,0.0,-45.76260008221314,0.0,5423.739991778686,53.42055
12,133,92,41,0.0,-23.50305914458321,0.0,7649.694085541679,50.308777
13,182,95,87,0.0,-31.05395492844478,0.0,6894.604507155522,51.024426
14,316,73,243,0.0,-47.56601393650815,0.0,5243.398606349185,51.023853
15,354,67,287,0.0,-51.64475513203922,0.0,4835.524486796078,51.259483
16,343,68,275,0.0,-50.28549099995985,0.0,4971.450900004015,50.885296
17,351,80,271,0.0,-51.39405109302992,0.0,4860.594890697007,51.329624
18,309,40,269,0.0,-46.41796051235088,0.0,5358.203948764912,50.42997
19,181,67,114,0.0,-29.396252296825914,0.0,7060.374770317409,48.031147
20,194,132,62,0.0,-30.883174945453955,0.0,6911.682505454604,47.553143
21,182,135,47,0.0,-29.471697290789134,0.0,7052.830270921087,47.9139
22,171,123,48,0.0,-27.53067186384723,0.0,7246.932813615277,47.031693
23,194,191,3,0.0,-32.190247747677596,0.0,6780.9752252322405,50.007923
24,284,221,63,0.0,-47.01309958579862,0.0,5298.690041420138,55.844074
25,297,186,111,0.0,-49.66382993160676,0.0,5033.617006839324,57.712914
26,377,261,116,0.0,-59.204989341424465,0.0,4079.5010658575534,59.384346
27,603,350,253,0.0,-78.22441407432889,0.0,2177.5585925671103,63.118427
28,597,289,308,0.0,-77.82315280949614,0.0,2217.684719050387,62.989216
29,472,221,251,0.0,-69.92097139155877,0.0,3007.902860844122,63.54798
30,393,190,203,0.0,-63.876180088927285,0.0,3612.381991107272,64.68682
31,384,138,246,0.0,-61.209456798944686,0.0,3879.0543201055316,61.574978
32,248,57,191,0.0,-38.61258109225806,0.0,6138.741890774194,49.140236
33,214,54,160,0.0,-33.238588931419585,0.0,6676.141106858042,47.156
34,222,62,160,0.0,-34.1575475668775,0.0,6584.245243312251,47.016167
35,305,105,200,0.0,-44.4580522653979,0.0,5554.19477346021,48.151894
36,263,84,179,0.0,-39.94516642669155,0.0,6005.483357330845,48.422783
37,168,73,95,0.0,-28.20325451675888,0.0,7179.674548324112,49.25564
38,309,118,191,0.0,-46.681834947414394,0.0,5331.816505258561,50.828613
39,377,116,261,0.0,-53.65203166226912,0.0,4634.796833773088,50.941322
40,419,198,221,0.0,-57.86597116842096,0.0,4213.4028831579035,51.51575
41,472,247,225,0.0,-62.312151460513086,0.0,3768.7848539486913,51.63147
42,568,246,322,0.0,-69.08104170887393,0.0,3091.895829112607,51.60929
43,403,198,205,0.0,-56.5008700651731,0.0,4349.91299348269,51.585014
