exit_threshold,total_trades,wins,losses,win_rate,avg_return,ml_exit_pct,avg_hold,long_trades,short_trades
0.15,127,83,44,65.35433070866141,1.7788177254701587,73.22834645669292,38.31496062992126,27,100
0.2,75,58,17,77.33333333333333,2.986696158148313,52.0,66.49333333333334,26,49
0.75,48,38,10,79.16666666666666,3.826979698625216,0.0,115.5,25,23
