threshold,total_trades,wins,losses,win_rate,total_return,avg_pnl,final_capital,ml_exits,max_hold_exits,ml_exit_rate,avg_hold_time
0.15,79,42,37,0.5316455696202531,-0.07093214677100568,-0.000839572296539256,9290.678532289943,79,0,1.0,4.075949367088608
0.2,79,43,36,0.5443037974683544,-0.017136774391280415,-4.470054135306854e-05,9828.632256087196,79,0,1.0,5.784810126582278
0.75,79,46,33,0.5822784810126582,-0.08957529351508128,-0.0004804663611180536,9104.247064849187,63,16,0.7974683544303798,60.20253164556962
