window,total_trades,long_trades,short_trades,win_rate,avg_return,total_return,ml_exit_rate,sl_exits,max_hold_exits
0,336,183,153,72.91666666666666,-0.056624889688086634,-19.02596293519711,75.89285714285714,58,23
1,298,131,167,82.5503355704698,0.230184604039293,68.59501200370931,83.89261744966443,33,15
2,261,137,124,76.24521072796935,0.20186318315110088,52.68629080243733,81.99233716475096,40,7
3,316,124,192,75.63291139240506,0.49151337586468113,155.31822677323925,84.17721518987342,20,30
4,308,152,156,84.0909090909091,0.4836839413621236,148.97465393953408,89.28571428571429,27,6
5,344,195,149,77.32558139534885,0.3468519423148697,119.31706815631517,77.61627906976744,43,34
6,235,103,132,68.51063829787233,0.16102159406766897,37.84007460590221,67.23404255319149,24,53
7,383,177,206,69.45169712793734,-0.2762211102610297,-105.79268522997435,67.36292428198433,93,32
8,352,182,170,70.45454545454545,-0.04195930895812087,-14.769676753258546,76.70454545454545,49,33
9,298,179,119,72.81879194630872,0.06213337203859813,18.515744867502242,85.23489932885906,41,3
10,337,200,137,73.59050445103857,0.1463276415207096,49.312415192479136,76.8545994065282,52,26
11,327,178,149,80.73394495412845,0.39019826997399937,127.59483428149781,89.29663608562691,33,2
12,290,161,129,65.86206896551724,0.18658535552764863,54.1097531030181,72.41379310344827,16,64
13,224,129,95,68.75,-0.20418745743799693,-45.73799046611132,61.60714285714286,43,43
14,368,158,210,69.83695652173914,-0.1639346487529975,-60.32795074110309,72.82608695652173,71,29
15,263,163,100,74.52471482889734,0.2754748407951901,72.44988312913499,63.49809885931559,51,45
16,247,58,189,74.08906882591093,0.26306300105318275,64.97656126013615,65.18218623481782,48,38
17,208,40,168,76.4423076923077,0.13989823326495246,29.098832519110108,82.6923076923077,36,0
18,320,163,157,65.0,-0.3154242500363404,-100.93576001162894,71.5625,86,5
19,250,181,69,80.0,0.4346603172954069,108.66507932385173,92.0,20,0
