regime,n_samples,positive_rate,accuracy,precision,recall,f1
Bull,2161,8.88477556686719,0.89494910615003,0.35486723421506033,0.23900134952766527,0.28423692885912927
Bear,1846,8.017334777898158,0.9111565223760346,0.42092731829573937,0.27747126436781605,0.33279729501863636
Sideways,13223,2.972094078499584,0.9299703147834094,0.1506149318124684,0.292794547224927,0.19860423473403932
