long_thresh,short_thresh,avg_trades,avg_win_rate,avg_return,total_return,avg_long_trades,avg_short_trades,num_zero_trade_windows
0.75,0.68,4.95,87.91666666666666,1.5926955669422538,181.04672211684564,3.388888888888889,2.111111111111111,2
0.75,0.75,4.9,87.91666666666666,1.5905305687476594,177.8495646810441,3.388888888888889,2.0555555555555554,2
0.75,0.7,4.9,87.91666666666666,1.5905042564541552,177.84430222234317,3.388888888888889,2.0555555555555554,2
0.75,0.72,4.9,87.91666666666666,1.5905042564541552,177.84430222234317,3.388888888888889,2.0555555555555554,2
0.7,0.68,5.85,87.30357142857143,1.5606792337831854,197.642761252084,4.444444444444445,2.0555555555555554,2
0.7,0.75,5.8,87.29166666666667,1.5587771143618065,194.44560381628241,4.444444444444445,2.0,2
0.7,0.7,5.8,87.29166666666667,1.5587508020683019,194.44034135758153,4.444444444444445,2.0,2
0.7,0.72,5.8,87.29166666666667,1.5587508020683019,194.44034135758153,4.444444444444445,2.0,2
0.65,0.68,7.25,87.40391508133445,1.3657737058103439,199.83148015623257,5.7894736842105265,1.8421052631578947,1
0.65,0.75,7.2,87.39316239316238,1.3646194428996354,196.634322720431,5.7894736842105265,1.7894736842105263,1
0.65,0.7,7.2,87.39316239316238,1.3645992026738627,196.6290602617301,5.7894736842105265,1.7894736842105263,1
0.65,0.72,7.2,87.39316239316238,1.3645992026738627,196.6290602617301,5.7894736842105265,1.7894736842105263,1
0.6,0.68,8.75,85.83226495726495,1.3018213303915673,217.5289383862591,7.421052631578948,1.7894736842105263,1
0.6,0.75,8.8,85.7457264957265,1.2956015307437796,213.72238726712163,7.526315789473684,1.736842105263158,1
0.6,0.7,8.8,85.7457264957265,1.2955850855603392,213.71712480842075,7.526315789473684,1.736842105263158,1
0.6,0.72,8.8,85.7457264957265,1.2955850855603392,213.71712480842075,7.526315789473684,1.736842105263158,1
