start_idx,end_idx,regime,xgb_return,bh_return,difference,num_trades,win_rate,sharpe,max_dd
8280,8340,Sideways,-1.1690576162057005,-1.018236682424582,-0.15082093378111838,1,0.0,0.0,0.0
8340,8400,Sideways,-1.0667388062309693,-0.6087067534558972,-0.4580320527750721,1,0.0,0.0,0.0
8400,8460,Sideways,0.0,-0.010381594952322465,0.010381594952322465,0,0.0,0.0,0.0
8460,8520,Sideways,0.0,-0.19427724092992119,0.19427724092992119,0,0.0,0.0,0.0
8520,8580,Sideways,0.0,-0.09778291560398744,0.09778291560398744,0,0.0,0.0,0.0
8580,8640,Sideways,0.0,-0.7031517667609845,0.7031517667609845,0,0.0,0.0,0.0
8640,8700,Sideways,0.0,0.19092594309355937,-0.19092594309355937,0,0.0,0.0,0.0
8700,8760,Sideways,0.0,0.05924557368552,-0.05924557368552,0,0.0,0.0,0.0
8760,8820,Sideways,0.0,0.43771716818994777,-0.43771716818994777,0,0.0,0.0,0.0
8820,8880,Sideways,0.0,-0.08393930292243998,0.08393930292243998,0,0.0,0.0,0.0
8880,8940,Sideways,0.0,-0.1355556234927706,0.1355556234927706,0,0.0,0.0,0.0
8940,9000,Sideways,0.0,-0.47567826180797873,0.47567826180797873,0,0.0,0.0,0.0
9000,9060,Sideways,0.0,0.13918257802316036,-0.13918257802316036,0,0.0,0.0,0.0
9060,9120,Sideways,0.0,0.5865787272769759,-0.5865787272769759,0,0.0,0.0,0.0
9120,9180,Sideways,0.0,0.1002145529135616,-0.1002145529135616,0,0.0,0.0,0.0
9180,9240,Sideways,0.0,-0.04617836340369505,0.04617836340369505,0,0.0,0.0,0.0
9240,9300,Sideways,0.0,-1.0578986870130098,1.0578986870130098,0,0.0,0.0,0.0
9300,9360,Sideways,0.0,1.2488905004276636,-1.2488905004276636,0,0.0,0.0,0.0
9360,9420,Sideways,0.0,-0.4688958711333337,0.4688958711333337,0,0.0,0.0,0.0
9420,9480,Sideways,-1.1070592393262086,-1.6323314407381093,0.5252722014119007,1,0.0,0.0,0.0
9480,9540,Sideways,0.0,0.23853460011956895,-0.23853460011956895,0,0.0,0.0,0.0
9540,9600,Sideways,0.0,-0.16398461077210047,0.16398461077210047,0,0.0,0.0,0.0
9600,9660,Sideways,0.0,0.44907360736163304,-0.44907360736163304,0,0.0,0.0,0.0
9660,9720,Sideways,0.0,1.56666963887651,-1.56666963887651,0,0.0,0.0,0.0
9720,9780,Sideways,0.0,-0.5575862646874918,0.5575862646874918,0,0.0,0.0,0.0
9780,9840,Sideways,0.0,0.40646211282087485,-0.40646211282087485,0,0.0,0.0,0.0
9840,9900,Sideways,0.0,0.16268240833465353,-0.16268240833465353,0,0.0,0.0,0.0
9900,9960,Sideways,0.0,-0.2600193063564531,0.2600193063564531,0,0.0,0.0,0.0
9960,10020,Sideways,0.0,0.3589704242786086,-0.3589704242786086,0,0.0,0.0,0.0
10020,10080,Sideways,0.0,-0.23581028772656004,0.23581028772656004,0,0.0,0.0,0.0
10080,10140,Sideways,0.0,1.2107685306410998,-1.2107685306410998,0,0.0,0.0,0.0
10140,10200,Sideways,0.0,-0.3881067102736185,0.3881067102736185,0,0.0,0.0,0.0
10200,10260,Sideways,0.0,-0.4715826856582009,0.4715826856582009,0,0.0,0.0,0.0
10260,10320,Sideways,0.0,0.09221572189468108,-0.09221572189468108,0,0.0,0.0,0.0
10320,10380,Sideways,0.0,0.4530004878446737,-0.4530004878446737,0,0.0,0.0,0.0
10380,10440,Sideways,0.0,-0.31115251695638557,0.31115251695638557,0,0.0,0.0,0.0
10440,10500,Sideways,0.0,-0.2983895084886,0.2983895084886,0,0.0,0.0,0.0
10500,10560,Sideways,0.0,-0.05255292781608295,0.05255292781608295,0,0.0,0.0,0.0
10560,10620,Sideways,0.0,-0.6914068660331848,0.6914068660331848,0,0.0,0.0,0.0
10620,10680,Sideways,0.0,0.4948626239579347,-0.4948626239579347,0,0.0,0.0,0.0
10680,10740,Sideways,0.0,-0.28647105526596894,0.28647105526596894,0,0.0,0.0,0.0
10740,10800,Sideways,0.0,-0.04789552632375757,0.04789552632375757,0,0.0,0.0,0.0
10800,10860,Sideways,0.0,-0.16458006614438223,0.16458006614438223,0,0.0,0.0,0.0
10860,10920,Sideways,0.0,-0.3291411988284636,0.3291411988284636,0,0.0,0.0,0.0
10920,10980,Sideways,0.0,0.0736192247610983,-0.0736192247610983,0,0.0,0.0,0.0
10980,11040,Sideways,0.0,-0.27872301535648997,0.27872301535648997,0,0.0,0.0,0.0
11040,11100,Sideways,-1.1394272448757876,-0.708657685508164,-0.4307695593676236,1,0.0,0.0,0.0
11100,11160,Sideways,0.0,-0.4580632572887047,0.4580632572887047,0,0.0,0.0,0.0
11160,11220,Sideways,0.0,0.5550648362426794,-0.5550648362426794,0,0.0,0.0,0.0
11220,11280,Sideways,0.0,-0.07153717480836086,0.07153717480836086,0,0.0,0.0,0.0
11280,11340,Sideways,0.0,0.34503470395280006,-0.34503470395280006,0,0.0,0.0,0.0
