start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,final_capital,avg_position_size,liquidations
0,1440,Sideways,11.537998917253898,2.473028405647383,9.064970511606514,13,84.61538461538461,11153.79989172539,55.0082562153156,0
288,1728,Sideways,6.298384816413654,-0.9847212041092852,7.28310602052294,13,61.53846153846154,10629.838481641365,54.10525978987034,0
576,2016,Sideways,2.278781709282503,-0.4613833546720966,2.7401650639545996,7,57.14285714285714,10227.87817092825,54.46466806530953,0
864,2304,Sideways,1.2700392037563324,1.4728062360801755,-0.20276703232384308,9,55.55555555555556,10127.003920375633,53.969651111298155,0
1152,2592,Bull,12.91173690183814,4.971207024303498,7.940529877534642,17,70.58823529411765,11291.173690183814,54.47659174221404,0
1440,2880,Bull,22.23539474918405,8.03813659558464,14.197258153599408,23,65.21739130434783,12223.539474918405,54.57747608876748,0
1728,3168,Bull,23.55257068127201,8.665357969549156,14.887212711722853,22,72.72727272727273,12355.257068127201,54.354849661615766,0
2016,3456,Bull,25.406063690683332,8.747792099670106,16.658271591013225,20,75.0,12540.606369068333,54.09290800169112,0
2304,3744,Bull,33.450092966596586,9.412270257573994,24.037822709022592,26,73.07692307692307,13345.009296659659,53.94098917394877,0
2592,4032,Bull,23.292842746844215,3.4044842539627735,19.88835849288144,28,60.71428571428571,12329.284274684422,53.403324163385804,0
2880,4320,Sideways,16.246464536968233,1.5748336042585827,14.67163093270965,28,57.14285714285714,11624.646453696823,53.25306581971901,0
3168,4608,Sideways,24.088350927617324,1.673579620307815,22.414771307309508,33,60.60606060606061,12408.835092761732,53.51669462567027,0
3456,4896,Sideways,25.48288944117767,-1.0998611390706634,26.582750580248334,41,56.09756097560976,12548.288944117767,53.556848756423825,0
3744,5184,Sideways,18.479337734668697,-1.634437206150058,20.113774940818754,35,54.285714285714285,11847.93377346687,53.44618917575904,0
4032,5472,Sideways,18.99633135753231,0.7943146792278917,18.202016678304417,26,61.53846153846154,11899.63313575323,53.43075524958281,0
4320,5760,Sideways,15.832227203727342,-1.2266906927041816,17.058917896431524,25,60.0,11583.222720372734,53.69922489583492,0
4608,6048,Sideways,13.538748054807256,0.09534920346070819,13.443398851346547,28,53.57142857142857,11353.874805480726,53.65052388555238,0
4896,6336,Sideways,14.153813540127794,0.6687764960788163,13.485037044048978,24,58.333333333333336,11415.38135401278,53.351519834250226,0
5184,6624,Sideways,17.08913981759297,1.1444895460530722,15.944650271539896,27,59.25925925925925,11708.913981759297,53.80927380477941,0
5472,6912,Sideways,16.628796682867232,-1.710774805744525,18.339571488611757,34,52.94117647058824,11662.879668286723,53.750522206811354,0
5760,7200,Sideways,17.68515709526171,0.03951854825241705,17.645638547009295,30,60.0,11768.515709526171,53.44634107748668,0
6048,7488,Sideways,12.607530741873651,-0.05633919840730521,12.663869940280957,22,59.09090909090909,11260.753074187365,52.862136580727324,0
6336,7776,Sideways,8.198679086000157,-0.5139208077229508,8.712599893723107,20,55.00000000000001,10819.867908600016,53.56603447198869,0
6624,8064,Sideways,4.89453309990402,-1.557349457161658,6.451882557065678,19,52.63157894736842,10489.453309990402,52.94552267460448,0
6912,8352,Sideways,4.612086448698646,1.2030418267937915,3.4090446219048545,13,61.53846153846154,10461.208644869865,52.01893505110191,0
7200,8640,Sideways,7.234032153660337,-0.5108854068724317,7.744917560532769,14,64.28571428571429,10723.403215366034,52.51064920531853,0
7488,8928,Bear,8.745061145382223,-4.3589159920674145,13.103977137449638,22,54.54545454545454,10874.506114538222,52.8749966167591,0
7776,9216,Bear,9.409904955039693,-4.380893750875535,13.790798705915227,22,54.54545454545454,10940.99049550397,53.24985741823913,0
8064,9504,Bear,13.148878557680819,-3.038929287929701,16.18780784561052,19,63.1578947368421,11314.887855768082,54.062193663496735,0
8352,9792,Bear,10.914348218836658,-2.1701175568508835,13.08446577568754,19,57.89473684210527,11091.434821883666,53.90370780386423,0
8640,10080,Bear,7.747110439539065,-3.3590363127303107,11.106146752269375,21,47.61904761904761,10774.711043953906,53.051604552637976,0
8928,10368,Sideways,8.720107036511454,1.2776035444613436,7.44250349205011,15,60.0,10872.010703651145,53.07567051053047,0
9216,10656,Bull,11.997574513081945,3.4478395191836406,8.549734993898305,14,71.42857142857143,11199.757451308195,52.10202334821224,0
9504,10944,Sideways,9.366711917119611,2.367217796229802,6.999494120889809,14,64.28571428571429,10936.671191711961,51.86983648794038,0
9792,11232,Sideways,9.15792305620149,1.3480424567464646,7.809880599455026,11,72.72727272727273,10915.792305620149,51.67527252164754,0
10080,11520,Bull,9.662301638140743,4.403234106157836,5.259067531982907,10,80.0,10966.230163814074,52.50473625212908,0
10368,11808,Bull,13.929857325487793,3.123369868344248,10.806487457143545,13,76.92307692307693,11392.98573254878,52.55197468056129,0
10656,12096,Sideways,16.172687586497215,2.864961857688114,13.307725728809102,16,75.0,11617.268758649721,52.376788166351616,0
10944,12384,Bull,19.469130366692227,4.179457730873966,15.28967263581826,19,73.68421052631578,11946.913036669222,52.44544458781417,0
11232,12672,Sideways,23.98244291992676,0.975561015561013,23.00688190436575,29,68.96551724137932,12398.244291992676,53.93427667998035,0
11520,12960,Sideways,22.371922446961946,-1.084716428085674,23.45663887504762,29,68.96551724137932,12237.192244696194,54.098188197818295,0
11808,13248,Sideways,13.74603106413153,-1.5512605863573892,15.29729165048892,22,68.18181818181817,11374.603106413153,54.67484203861518,0
12096,13536,Sideways,8.755980665371407,-1.5927413475630332,10.34872201293444,19,63.1578947368421,10875.59806653714,55.24679637190545,0
