direction,entry_price,entry_time,entry_idx,size_usd,size_pct,entry_long_prob,entry_short_prob,opportunity_cost,exit_price,exit_time,exit_idx,hold_candles,pnl_pct,pnl_usd,exit_reason,exit_prob
LONG,107507.1,2025-10-21 08:45:00,18,5000.0,0.5,0.80021316,0.0039043669,,111974.7,2025-10-21 18:45:00,138,120,0.16622530046852685,831.1265023426342,MAX_HOLD (120 candles),0.0
LONG,110782.2,2025-10-21 20:15:00,156,5415.5632511713175,0.5,0.7107205,0.43339178,,108975.7,2025-10-21 22:30:00,183,27,-0.06522708521766132,-353.24140568578656,STOP_LOSS (loss=-3.26%),0.0
LONG,108975.7,2025-10-21 22:30:00,183,5238.942548328424,0.5,0.8984608,0.18513797,,107707.3,2025-10-22 07:10:00,287,104,-0.04655716824943521,-243.9103296716513,END_OF_PERIOD,0.0
