strategy_name,strategy_type,avg_return,vs_bh,win_rate,sharpe,max_dd,liquidations,avg_trades,avg_holding_hours,avg_entry_signal,avg_exit_signal
Fixed: TP1.5%/SL1%/2h,fixed,37.49,37.45,91.9,36.69,1.74,0,24.5,0.6,0.0,0.0
Absolute: Signal<0.3,absolute,33.52664277598653,33.48829188254978,94.89708975350203,19.17747640141235,0.9686395925539976,0,25.272727272727273,0.23292095084487482,0.8840232491493225,0.1561228334903717
Reversal: Short≥0.7,reversal,33.52664277598653,33.48829188254978,94.89708975350203,19.17747640141235,0.9686395925539976,0,25.272727272727273,0.23292095084487482,0.8840232491493225,0.1561228334903717
Absolute: Signal<0.4,absolute,32.93368286568452,32.895331972247774,93.75974041796024,18.23172549971154,0.9184970843447697,0,25.90909090909091,0.20098538717147327,0.8836603760719299,0.1938581019639969
Reversal: Short≥0.6,reversal,32.93368286568452,32.895331972247774,93.75974041796024,18.23172549971154,0.9184970843447697,0,25.90909090909091,0.20098538717147327,0.8836603760719299,0.1938581019639969
Delta: Drop>0.5,delta,32.727342523456905,32.688991630020155,93.49765905107593,18.19701435881867,1.0300375548556024,0,25.727272727272727,0.2056995448513805,0.8834718465805054,0.1863885521888733
Hybrid: Strict,hybrid,32.60033298023845,32.5619820868017,93.53863542475851,18.663442424107302,0.9005891921022915,0,26.545454545454547,0.18806145007504488,0.8831288814544678,0.20903688669204712
Delta: Drop>0.4,delta,32.60033298023845,32.5619820868017,93.53863542475851,18.663442424107302,0.9005891921022915,0,26.545454545454547,0.18806145007504488,0.8831288814544678,0.20903688669204712
Absolute: Signal<0.5,absolute,32.49862590093622,32.46027500749946,93.76390790829292,19.329365057921336,0.9005891921022915,0,26.636363636363637,0.1819328604979229,0.8832326531410217,0.2168383002281189
Hybrid: Loose,hybrid,32.49862590093622,32.46027500749946,93.76390790829292,19.329365057921336,0.9005891921022915,0,26.636363636363637,0.1819328604979229,0.8832326531410217,0.2168383002281189
Delta: Drop>0.3,delta,31.954109196733388,31.91575830329663,94.86255673421448,19.573168095025103,0.8659482628093014,0,27.09090909090909,0.17129118570740673,0.8831186294555664,0.24022556841373444
Hybrid: Balanced,hybrid,31.954109196733388,31.91575830329663,94.86255673421448,19.573168095025103,0.8659482628093014,0,27.09090909090909,0.17129118570740673,0.8831186294555664,0.24022556841373444
