start_idx,end_idx,regime,return,bh_return,difference,num_trades,win_rate,sharpe,max_dd
0,1440,Sideways,0.17267607400495763,2.270613143709525,-2.0979370697045674,5,40.0,1.8798827696152025,1.3444718547859429
1440,2880,Sideways,2.761903271267056,-2.0224330193216757,4.784336290588731,6,66.66666666666666,8.00899849212161,1.6506343133361863
2880,4320,Sideways,4.866539004063215,-0.5914351004940368,5.457974104557252,11,45.45454545454545,5.224680131702575,1.8626349480877915
4320,5760,Bear,1.000104988506464,-4.493761894214929,5.493866882721393,14,50.0,2.743019521926745,2.652286711825418
5760,7200,Bear,0.9932641830005013,-3.5276730419637223,4.520937224964223,8,37.5,2.637098160659337,2.6670171105046614
7200,8640,Sideways,3.004245471054946,2.1740653023939758,0.8301801686609704,3,66.66666666666666,11.907309556220605,0.6073465901317003
8640,10080,Bull,-0.20629532903813017,3.882065420730484,-4.088360749768614,4,50.0,0.655847364842369,0.9901657608521063
10080,11520,Sideways,0.0,1.8614519495474038,-1.8614519495474038,0,0.0,0.0,0.0
11520,12960,Sideways,1.0845009652164481,-1.1782215588216938,2.262722524038142,4,25.0,3.906419102915495,1.655634464283636
12960,14400,Bear,2.8596735380325846,-5.201186834529879,8.060860372562463,11,54.54545454545454,6.237987229652267,1.7666900646829087
14400,15840,Bull,8.501243477399512,7.248375460768837,1.2528680166306758,9,77.77777777777779,14.411858378123194,1.0953450484896572
