signal_weight,volatility_weight,regime_weight,streak_weight,base_position,max_position,min_position,train_return,train_sharpe,train_winrate,train_trades_per_week,val_return,val_sharpe,val_winrate,val_trades_per_week,avg_return,avg_sharpe
0.35,0.25,0.15,0.25,0.6,1.0,0.2,87.74671970452175,31.00213956948992,85.89211618257261,26.77777777777778,6.998836230830996,25.060097649023362,81.25,16.59259259259259,47.37277796767637,28.03111860925664
0.35,0.25,0.2,0.19999999999999996,0.6,1.0,0.2,86.28270342506956,31.044727079444204,85.89211618257261,26.77777777777778,6.90637049857088,24.96019128533049,81.25,16.59259259259259,46.59453696182022,28.002459182387348
0.4,0.25,0.15,0.19999999999999996,0.6,1.0,0.2,85.98683418091098,30.997656700479283,85.89211618257261,26.77777777777778,6.86564417459774,25.16117613220294,81.25,16.59259259259259,46.426239177754354,28.07941641634111
0.35,0.3,0.15,0.20000000000000007,0.6,1.0,0.2,85.5771682887188,30.942273144414862,85.89211618257261,26.77777777777778,6.891672671449567,25.162158874519868,81.25,16.59259259259259,46.23442048008418,28.052216009467365
0.35,0.25,0.25,0.15000000000000002,0.6,1.0,0.2,84.82978681150995,31.080892363320544,85.89211618257261,26.77777777777778,6.813963936271317,24.850712754597332,81.25,16.59259259259259,45.821875373890634,27.965802558958938
0.4,0.25,0.2,0.1499999999999999,0.6,1.0,0.2,84.53633431606382,31.039836761845354,85.89211618257261,26.77777777777778,6.773279535481724,25.05941777018588,81.25,16.59259259259259,45.65480692577277,28.04962726601562
0.45,0.25,0.15,0.15000000000000002,0.6,1.0,0.2,84.24315409369767,30.988830229089537,85.89211618257261,26.77777777777778,6.732582763568562,25.263586963940437,81.25,16.59259259259259,45.487868428633114,28.126208596514985
0.35,0.3,0.2,0.15000000000000013,0.6,1.0,0.2,84.12981129502823,30.98248217804546,85.89211618257261,26.77777777777778,6.799285066469496,25.05929330629486,81.25,16.59259259259259,45.464548180748864,28.02088774217016
0.4,0.3,0.15,0.15000000000000002,0.6,1.0,0.2,83.83738864975285,30.93730271115529,85.89211618257261,26.77777777777778,6.758587908793734,25.26663240329951,81.25,16.59259259259259,45.29798827927329,28.1019675572274
0.35,0.35,0.15,0.15000000000000002,0.6,1.0,0.2,83.43222410166172,30.870544666220194,85.89211618257261,26.77777777777778,6.7845881699252875,25.263706683752787,81.25,16.59259259259259,45.1084061357935,28.067125674986492
0.4,0.25,0.25,0.09999999999999998,0.6,1.0,0.2,83.09683297088225,31.075333065175304,85.89211618257261,26.77777777777778,6.6809740247045335,24.94760727595204,81.25,16.59259259259259,44.88890349779339,28.011470170563673
0.45,0.25,0.2,0.10000000000000009,0.6,1.0,0.2,82.80604726931804,31.030429298984807,85.89211618257261,26.77777777777778,6.640319147367979,25.159857105803876,81.25,16.59259259259259,44.72318320834301,28.09514320239434
0.35,0.3,0.25,0.10000000000000009,0.6,1.0,0.2,82.69342985773933,31.01590017034118,85.89211618257261,26.77777777777778,6.706956604557601,24.946410112893773,81.25,16.59259259259259,44.70019323114847,27.981155141617478
0.4,0.3,0.2,0.10000000000000009,0.6,1.0,0.2,82.40339585041023,30.977010610369437,85.89211618257261,26.77777777777778,6.666301344110415,25.161767962766646,81.25,16.59259259259259,44.53484859726032,28.06938928656804
0.45,0.3,0.15,0.09999999999999998,0.6,1.0,0.2,82.11363107761662,30.92784745528475,85.89211618257261,26.77777777777778,6.625633727266789,25.3724853812793,81.25,16.59259259259259,44.3696324024417,28.150166418282026
0.35,0.35,0.2,0.10000000000000009,0.6,1.0,0.2,82.00134055871663,30.907896526516307,85.89211618257261,26.77777777777778,6.692278659855599,25.15764308088658,81.25,16.59259259259259,44.34680960928612,28.03276980370144
0.4,0.35,0.15,0.09999999999999998,0.6,1.0,0.2,81.71232495168358,30.86474612273791,85.89211618257261,26.77777777777778,6.651610656791829,25.3715200083319,81.25,16.59259259259259,44.18196780423771,28.118133065534906
0.45,0.25,0.25,0.050000000000000044,0.6,1.0,0.2,81.37984026556819,31.065065821686193,85.89211618257261,26.77777777777778,6.5481146111222355,25.045560717719336,81.25,16.59259259259259,43.96397743834521,28.055313269702765
0.4,0.3,0.25,0.050000000000000044,0.6,1.0,0.2,80.98027920595771,31.009646119224886,85.89211618257261,26.77777777777778,6.574073874104802,25.046372448849393,81.25,16.59259259259259,43.777176540031256,28.02800928403714
0.45,0.3,0.2,0.050000000000000044,0.6,1.0,0.2,80.69288212972575,30.966869562083073,85.89211618257261,26.77777777777778,6.533448125890495,25.265488372252104,81.25,16.59259259259259,43.613165127808124,28.11617896716759
0.35,0.35,0.25,0.050000000000000044,0.6,1.0,0.2,80.58130942251114,30.938057846957147,85.89211618257261,26.77777777777778,6.600028259185153,25.04108911832116,81.25,16.59259259259259,43.590668840848146,27.989573482639152
0.4,0.35,0.2,0.050000000000000044,0.6,1.0,0.2,80.29465544411846,30.90148080809167,85.89211618257261,26.77777777777778,6.559402127401448,25.263291305735194,81.25,16.59259259259259,43.42702878575996,28.082386056913432
0.45,0.35,0.15,0.04999999999999993,0.6,1.0,0.2,80.00826723543044,30.85430421475646,85.89211618257261,26.77777777777778,6.518763660674565,25.48074425956966,81.25,16.59259259259259,43.2635154480525,28.16752423716306
0.45,0.3,0.25,0.0,0.6,1.0,0.2,79.28290951989321,30.998519300586974,85.89211618257261,26.77777777777778,6.441321570809944,25.1474093019936,81.25,16.59259259259259,42.86211554535158,28.072964301290288
