long_threshold,short_threshold,return,win_rate,num_trades,max_drawdown,sharpe_ratio,profit_factor,ml_exit_rate,sl_rate,max_hold_rate,composite_score
0.75,0.6,42.96840715878534,92.85714285714286,14,-2.139901576104321,3.610300808363529,21.079618445353493,57.14285714285714,7.142857142857142,28.57142857142857,0.7775441044656172
0.75,0.65,41.90771114272775,92.3076923076923,13,-2.139901576104321,3.570200135539799,20.583943304074996,61.53846153846154,7.6923076923076925,30.76923076923077,0.7727327673105144
0.7,0.8,42.25244473650402,90.9090909090909,11,-1.8484711221582528,3.386082416901114,23.858049676843525,63.63636363636363,9.090909090909092,27.27272727272727,0.7723078539073128
0.7,0.75,38.08115101173842,91.66666666666666,12,-1.8305513487604002,3.4358851327478384,21.80310450593257,58.333333333333336,8.333333333333332,33.33333333333333,0.7592951564793762
0.7,0.7,37.594322048789124,91.66666666666666,12,-1.8240974235996317,3.379017919246256,21.609821362831248,58.333333333333336,8.333333333333332,33.33333333333333,0.7576170708096968
0.65,0.8,40.870079780527306,84.61538461538461,13,-3.3049002933461553,3.0102933173616235,13.366509169069982,53.84615384615385,15.384615384615385,30.76923076923077,0.7490564472892302
0.55,0.75,32.15560593505525,91.66666666666666,12,-0.5388550826345351,3.5822137954791624,60.67394012104728,58.333333333333336,0.0,41.66666666666667,0.7437225337754886
0.6,0.8,38.284369814883924,84.61538461538461,13,-2.6780385374292077,3.0140575998905326,15.295675465385631,53.84615384615385,15.384615384615385,30.76923076923077,0.7425139094331461
0.55,0.7,31.68966850540686,91.66666666666666,12,-0.5369552559084627,3.5115774532662636,60.01733553532652,58.333333333333336,0.0,41.66666666666667,0.7420993520786235
0.7,0.6,36.56346458032307,85.71428571428571,14,-2.044034615068049,2.9676237252025572,10.452486165109502,50.0,14.285714285714285,28.57142857142857,0.74122455899943
0.7,0.65,35.55028743372108,84.61538461538461,13,-2.044034615068049,2.9053395738013417,10.190556857507334,53.84615384615385,15.384615384615385,30.76923076923077,0.7354806367885208
0.65,0.75,36.22305012431811,84.61538461538461,13,-3.272861348485544,3.0578118077547867,12.067700787593605,53.84615384615385,15.384615384615385,30.76923076923077,0.7329199992719404
0.65,0.7,35.7427722171896,84.61538461538461,13,-3.2613223101411672,3.0117637529284425,11.959595163607881,53.84615384615385,15.384615384615385,30.76923076923077,0.7312851827503681
0.55,0.8,33.97967372283192,84.61538461538461,13,-2.628889305444301,2.864570914615253,13.92548668841314,53.84615384615385,15.384615384615385,30.76923076923077,0.7276440700389037
0.6,0.75,33.72263769603274,84.61538461538461,13,-2.6520766258980073,3.1050781730515182,13.715559334419332,53.84615384615385,15.384615384615385,30.76923076923077,0.7266516946632918
0.6,0.7,33.25117542507534,84.61538461538461,13,-2.6427262713855497,3.0548818078531146,13.582148891130585,53.84615384615385,15.384615384615385,30.76923076923077,0.7250389781329907
0.75,0.8,48.92420532037007,100.0,11,0.0,4.269175623274112,0.0,72.72727272727273,0.0,27.27272727272727,0.7212347186212953
0.55,0.6,30.70304873594803,85.71428571428571,14,-1.956317941495008,3.023223785828547,13.314353985725525,50.0,7.142857142857142,35.714285714285715,0.7210639702384095
0.65,0.6,34.72578657093045,80.0,15,-3.2613223101411672,2.7126184363987775,7.57953119006743,46.666666666666664,20.0,26.666666666666668,0.718494963757692
0.55,0.65,29.73335056391184,84.61538461538461,13,-1.956317941495008,2.9439435724581955,12.9254282261874,53.84615384615385,7.6923076923076925,38.46153846153847,0.7154722244384807
0.6,0.6,32.25285683660834,80.0,15,-2.6427262713855497,2.7334555380744354,7.97775287285032,46.666666666666664,20.0,26.666666666666668,0.712314093842587
0.65,0.65,33.7262433297632,78.57142857142857,14,-3.2613223101411672,2.6438832927053535,7.390146684185962,50.0,21.428571428571427,28.57142857142857,0.7121394195564636
0.6,0.65,31.27166049297821,78.57142857142857,14,-2.6427262713855497,2.6585491668974726,7.765475689459102,50.0,21.428571428571427,28.57142857142857,0.7060227637827386
0.75,0.75,44.55727437398644,100.0,12,0.0,4.384913358316472,0.0,66.66666666666666,0.0,33.33333333333333,0.7059504603089525
0.75,0.7,44.04761271883208,100.0,12,0.0,4.30372590234696,0.0,66.66666666666666,0.0,33.33333333333333,0.7041666445159124
