strategy,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,hours_held,probability
LONG,9624,9672,112036.9,112234.7,0.1765489762747835,14.851250363630069,Max Holding,4.0,0.8508398
LONG,9680,9728,112620.6,113629.6,0.895928453586644,93.21725018999055,Max Holding,4.0,0.9245524
LONG,9771,9819,113301.1,113920.1,0.546331853794888,55.59140427372236,Max Holding,4.0,0.8286184
LONG,9971,10019,113709.1,114318.1,0.5355771877536626,54.67227153460135,Max Holding,4.0,0.953412
LONG,10086,10134,114459.4,115528.8,0.9343050898397237,99.12519478351592,Max Holding,4.0,0.8249362
LONG,10285,10333,114823.0,116421.2,1.3918814174860412,151.11641311409818,Max Holding,4.0,0.87587035
LONG,11022,11070,115363.8,115484.3,0.104452176505975,7.296258616119105,Max Holding,4.0,0.8667454
LONG,11137,11185,114420.2,114845.9,0.3720496905266702,37.616199477745425,Max Holding,4.0,0.93719435
LONG,11196,11244,114866.9,115187.4,0.27901858585893763,27.16232502371797,Max Holding,4.0,0.8665133
LONG,11449,11497,115303.6,116533.0,1.0662286346653478,116.88945806237697,Max Holding,4.0,0.8034792
LONG,11617,11665,116627.2,116652.2,0.02143582286121934,-2.1360434959324817,Max Holding,4.0,0.7681328
LONG,11764,11812,115477.8,116000.3,0.4524679202409467,47.429917860213344,Max Holding,4.0,0.95918435
LONG,11822,11870,116311.8,116625.6,0.2697920589312545,26.52702679914055,Max Holding,4.0,0.89388204
LONG,11870,11918,116625.6,117057.5,0.37033035628540745,38.21672509625429,Max Holding,4.0,0.8117745
LONG,13061,13109,112427.5,112308.1,-0.10620177447687994,-16.96884771561791,Max Holding,4.0,0.9812092
LONG,13116,13164,112378.4,112854.6,0.4237469122180167,44.47421057814549,Max Holding,4.0,0.8876392
LONG,13232,13280,112075.7,112595.3,0.4636152172147984,49.27377018528167,Max Holding,4.0,0.8786422
LONG,13313,13361,111622.3,112821.8,1.0746060599002172,120.82810538875066,Max Holding,4.0,0.91982925
LONG,13443,13491,112764.8,111894.6,-0.7716947132438465,-95.72825918664934,Max Holding,4.0,0.8087295
LONG,13523,13571,111483.5,112162.4,0.6089690402615582,66.5831696587201,Max Holding,4.0,0.89928466
LONG,13615,13663,111417.7,112468.0,0.9426688937215568,106.20554570149547,Max Holding,4.0,0.93511915
LONG,13739,13787,113098.7,113534.8,0.3855924073397889,41.00948213300504,Max Holding,4.0,0.85660714
LONG,13875,13923,112430.5,111686.6,-0.661653199087431,-83.53737071771812,Max Holding,4.0,0.9325981
LONG,14002,14050,111080.2,111071.3,-0.008012229002103147,-5.679022120146885,Max Holding,4.0,0.95562685
LONG,14068,14116,108789.1,109352.8,0.5181585287496606,56.5217800364272,Max Holding,4.0,0.97595257
LONG,14127,14175,109229.8,109566.4,0.3081576639341931,31.841706768732767,Max Holding,4.0,0.77285045
LONG,14214,14262,109103.6,109144.5,0.03748730564343814,-0.30008497605559015,Max Holding,4.0,0.8503179
LONG,14277,14325,108655.6,109059.6,0.3718170071307875,39.50040594902786,Max Holding,4.0,0.9453333
LONG,14333,14381,109148.8,109170.6,0.019972734468911162,-2.392627433880405,Max Holding,4.0,0.88950634
LONG,14979,15027,110670.6,111760.0,0.9843626039797329,112.75411205085338,Max Holding,4.0,0.9080996
LONG,15166,15214,112122.0,113851.5,1.5425161877240863,181.00568072481892,Max Holding,4.0,0.8667597
LONG,15239,15287,113888.3,114234.8,0.30424547561075194,32.28670785700329,Max Holding,4.0,0.77422327
LONG,15467,15515,113069.3,113336.8,0.23658057492175152,24.079135178304234,Max Holding,4.0,0.9066122
LONG,15518,15566,113493.0,113956.0,0.40795467561876064,45.155737921565866,Max Holding,4.0,0.8623415
LONG,15641,15689,114263.6,115938.1,1.465471068651784,175.54932163459742,Max Holding,4.0,0.8732359
LONG,15746,15794,116410.2,116960.9,0.4730685111785712,54.05455731833982,Max Holding,4.0,0.8134413
LONG,15843,15891,117394.1,118739.2,1.145798638943517,138.59237582377648,Max Holding,4.0,0.78307134
LONG,16030,16078,119124.3,119385.7,0.2194346577482463,22.72432350819122,Max Holding,4.0,0.895544
LONG,16082,16130,119690.7,120309.7,0.5171663295477427,60.53492489400821,Max Holding,4.0,0.9321409
LONG,16256,16304,119299.7,120238.6,0.7870095230750863,95.19821480943844,Max Holding,4.0,0.8804415
LONG,16328,16354,119929.8,123618.6,3.0757993426154324,389.6276030579765,Take Profit,2.1666666666666665,0.91252226
LONG,16360,16408,122520.4,122396.0,-0.10153411187034501,-18.68998222654305,Max Holding,4.0,0.95272464
LONG,16599,16647,121916.8,121655.9,-0.21399839890811498,-33.495280754812235,Max Holding,4.0,0.891049
LONG,16759,16807,122361.3,125039.0,2.188355305149583,282.61448544804426,Max Holding,4.0,0.88044715
LONG,16867,16915,122818.1,122900.8,0.06733535203687166,3.6682601125191905,Max Holding,4.0,0.94986343
LONG,16934,16982,122669.9,122807.9,0.11249703472489991,9.73301996879344,Max Holding,4.0,0.9234442
LONG,17021,17069,123341.5,123774.3,0.35089568393444454,41.771275319837464,Max Holding,4.0,0.88762796
LONG,17155,17203,123691.4,124669.0,0.7903540585683451,101.11517500524812,Max Holding,4.0,0.8622786
SHORT,32,80,116855.0,116751.1,0.0889136108852802,0.46484823927084384,Max Holding,4.0,0.4151468
SHORT,190,238,116694.8,116304.2,0.334719284835319,2.8017709657407224,Max Holding,4.0,0.4063771
SHORT,445,493,117469.2,116774.8,0.5911336758912075,5.25400001044389,Max Holding,4.0,0.4183154
SHORT,647,695,118335.9,117937.8,0.3364152383173587,2.8405829923193107,Max Holding,4.0,0.4042327
SHORT,697,745,117612.6,118369.6,-0.6436385217230126,-6.569588840405976,Max Holding,4.0,0.40782773
SHORT,848,896,118119.8,119199.8,-0.9143259639789434,-9.111283431150264,Max Holding,4.0,0.4003233
SHORT,911,921,119742.7,121562.0,-1.5193410537761407,-14.752623819818972,Stop Loss,0.8333333333333334,0.43119642
SHORT,986,1034,121648.1,120403.8,1.0228684212905939,9.161073610103772,Max Holding,4.0,0.4060234
SHORT,1034,1082,120403.8,120294.5,0.09077786581486873,0.47777942289485786,Max Holding,4.0,0.43820724
SHORT,1090,1138,120519.1,118818.2,1.4113115680419193,12.907222320315276,Max Holding,4.0,0.48623028
SHORT,1151,1199,118587.7,118935.5,-0.29328505401487925,-3.177765905204843,Max Holding,4.0,0.4132847
SHORT,1244,1292,118664.8,118701.1,-0.03059036883726506,-0.6708651534145993,Max Holding,4.0,0.44732735
SHORT,1303,1351,118200.9,119129.1,-0.7852732085796401,-7.838648084751911,Max Holding,4.0,0.46834165
SHORT,1399,1447,119749.5,119716.7,0.027390511025100657,-0.11875463465777059,Max Holding,4.0,0.43159318
SHORT,1452,1500,119870.0,119546.7,0.26970885125552924,2.1645593389006494,Max Holding,4.0,0.40028092
SHORT,1534,1582,119588.4,119858.1,-0.22552354576197328,-2.50734169344082,Max Holding,4.0,0.46478826
SHORT,1623,1638,120248.1,122114.9,-1.552456961897933,-15.000026334019932,Stop Loss,1.25,0.41703546
SHORT,1638,1686,122114.9,121626.4,0.4000330835958593,3.340080212942212,Max Holding,4.0,0.40377793
SHORT,1701,1749,122494.2,123324.3,-0.6776647384121092,-6.680436258032386,Max Holding,4.0,0.4025972
SHORT,1764,1812,124122.0,123344.5,0.6263998324229387,5.421458972790052,Max Holding,4.0,0.475987
SHORT,1813,1861,123270.5,121720.2,1.257640716959859,11.320134744782312,Max Holding,4.0,0.49551663
SHORT,1894,1942,120898.0,118117.8,2.2996244768317067,21.25021459191236,Max Holding,4.0,0.42067012
SHORT,1965,2013,117930.8,117837.1,0.07945337435173601,0.379073703664508,Max Holding,4.0,0.40462947
SHORT,2014,2062,117588.6,118370.6,-0.6650304536324099,-6.77512372754532,Max Holding,4.0,0.4663049
SHORT,2062,2110,118370.6,118727.1,-0.3011727574245632,-3.2565615774674166,Max Holding,4.0,0.52100915
SHORT,2119,2167,118889.0,118833.7,0.046513975220586354,0.06205317728503129,Max Holding,4.0,0.415758
SHORT,2169,2217,118914.0,117783.3,0.9508552399212852,8.666925692405867,Max Holding,4.0,0.42551446
SHORT,2223,2271,117287.1,117274.6,0.010657608552006145,-0.28153449950966714,Max Holding,4.0,0.63479805
SHORT,2291,2339,117144.8,117553.8,-0.34914055083964457,-3.733627687218143,Max Holding,4.0,0.46670577
SHORT,2457,2505,117231.6,117644.5,-0.35220879012142986,-3.7491527276080596,Max Holding,4.0,0.41539562
SHORT,2727,2775,118276.0,118149.9,0.10661503601745563,0.6344940994665924,Max Holding,4.0,0.40710413
SHORT,2848,2896,117497.8,117897.8,-0.3404319059590903,-3.625315616146942,Max Holding,4.0,0.4693665
SHORT,2908,2956,117352.0,115277.2,1.768014179562345,16.40796124319543,Max Holding,4.0,0.47715384
SHORT,2976,3024,115172.2,114859.5,0.27150649201803656,2.234377111232094,Max Holding,4.0,0.41789755
SHORT,3055,3103,115090.0,116027.9,-0.814927448084103,-8.26909186034078,Max Holding,4.0,0.4104162
SHORT,3108,3156,115889.8,116131.8,-0.20881906776955347,-2.387041553855302,Max Holding,4.0,0.40083066
SHORT,3208,3256,116515.7,115254.9,1.0820859334836448,9.973995856852362,Max Holding,4.0,0.41065466
SHORT,3256,3304,115254.9,115145.3,0.09509357085901882,0.5326052723952588,Max Holding,4.0,0.43331924
SHORT,3353,3401,115550.4,113256.7,1.9850212547944421,18.81026678709369,Max Holding,4.0,0.4448624
SHORT,3401,3449,113256.7,113504.9,-0.21914818284480925,-2.55244689253313,Max Holding,4.0,0.4080525
SHORT,3480,3528,112832.2,113489.7,-0.5827237260285628,-6.11844546279347,Max Holding,4.0,0.43529877
SHORT,3623,3671,113255.2,114100.2,-0.7461026072092054,-7.678011017739508,Max Holding,4.0,0.47309232
