exit_threshold,stop_loss,take_profit,max_holding_hours,total_return,sharpe,win_rate,avg_holding_hours,trades_per_week,max_dd,total_trades,ml_exit_pct,sl_pct,tp_pct,maxhold_pct
0.7,0.01,0.02,4,47.53497656022674,14.295994387864765,81.9047619047619,1.5349206349206348,35.05796621397814,-13.155172084899108,105,74.28571428571429,12.380952380952381,3.8095238095238098,9.523809523809524
0.7,0.02,0.02,4,46.91777611664671,14.683999840257632,83.83838383838383,1.6683501683501682,33.05465385889367,-13.956513510303175,99,75.75757575757575,4.040404040404041,4.040404040404041,16.161616161616163
0.7,0.01,0.04,4,46.559905554351786,13.847457390721793,81.73076923076923,1.548076923076923,34.724080821464064,-13.155172084899108,104,75.96153846153845,12.5,1.9230769230769231,9.615384615384617
0.7,0.01,0.03,4,46.559905554351786,13.847457390721793,81.73076923076923,1.548076923076923,34.724080821464064,-13.155172084899108,104,75.96153846153845,12.5,1.9230769230769231,9.615384615384617
0.7,0.01,0.02,6,46.00030437332479,14.053475855988843,81.55339805825243,1.747572815533981,34.39019542894999,-13.155172084899098,103,73.7864077669903,12.62135922330097,3.8834951456310676,9.70873786407767
0.7,0.02,0.03,4,45.946784240150926,14.219526083770948,83.6734693877551,1.683673469387755,32.720768466379596,-13.956513510303175,98,77.55102040816327,4.081632653061225,2.0408163265306123,16.3265306122449
0.7,0.02,0.04,4,45.946784240150926,14.219526083770948,83.6734693877551,1.683673469387755,32.720768466379596,-13.956513510303175,98,77.55102040816327,4.081632653061225,2.0408163265306123,16.3265306122449
0.75,0.01,0.02,6,45.77871870786312,14.106620942523735,79.59183673469387,2.0331632653061225,32.720768466379596,-13.60693626195029,98,69.38775510204081,14.285714285714285,5.1020408163265305,11.224489795918368
0.7,0.01,0.04,6,45.035376144354935,13.60778879786739,81.37254901960785,1.763071895424837,34.05631003643591,-13.155172084899098,102,75.49019607843137,12.745098039215685,1.9607843137254901,9.803921568627452
0.7,0.01,0.03,6,45.035376144354935,13.60778879786739,81.37254901960785,1.763071895424837,34.05631003643591,-13.155172084899098,102,75.49019607843137,12.745098039215685,1.9607843137254901,9.803921568627452
0.75,0.01,0.03,6,44.38858145911044,13.60263664376198,79.38144329896907,2.0601374570446733,32.38688307386552,-13.606936261950311,97,71.1340206185567,14.432989690721648,2.0618556701030926,12.371134020618557
0.75,0.01,0.04,6,44.38858145911044,13.60263664376198,79.38144329896907,2.0601374570446733,32.38688307386552,-13.606936261950311,97,71.1340206185567,14.432989690721648,2.0618556701030926,12.371134020618557
0.7,0.01,0.02,3,44.137013836753084,12.973350355238066,78.57142857142857,1.4441964285714286,37.395163961576685,-13.155172084899094,112,64.28571428571429,11.607142857142858,3.571428571428571,20.535714285714285
0.7,0.01,0.03,3,43.184400250860435,12.553107109077583,78.37837837837837,1.455705705705706,37.06127856906261,-13.155172084899094,111,65.76576576576578,11.711711711711711,1.8018018018018018,20.72072072072072
0.7,0.01,0.04,3,43.184400250860435,12.553107109077583,78.37837837837837,1.455705705705706,37.06127856906261,-13.155172084899094,111,65.76576576576578,11.711711711711711,1.8018018018018018,20.72072072072072
0.7,0.015,0.02,4,43.15785849207012,13.581456072110898,82.17821782178217,1.6229372937293731,33.72242464392183,-13.499589887641092,101,74.25742574257426,7.920792079207921,3.9603960396039604,13.861386138613863
0.7,0.02,0.02,3,43.103754280096254,12.96917944050605,80.18867924528303,1.528301886792453,35.39185160649222,-13.956513510303184,106,67.9245283018868,3.7735849056603774,3.7735849056603774,24.528301886792452
0.75,0.01,0.02,4,42.84827138399234,13.300941538200952,80.0,1.781666666666667,33.38853925140776,-13.60693626195032,100,69.0,14.000000000000002,4.0,13.0
0.7,0.02,0.02,6,42.57268826051295,13.747556898768462,85.1063829787234,1.9902482269503547,31.38522689632329,-13.95651351030319,94,75.53191489361703,5.319148936170213,4.25531914893617,14.893617021276595
0.7,0.015,0.03,4,42.211716225786745,13.135697023336625,82.0,1.6375,33.38853925140776,-13.499589887641092,100,76.0,8.0,2.0,14.000000000000002
0.7,0.015,0.04,4,42.211716225786745,13.135697023336625,82.0,1.6375,33.38853925140776,-13.499589887641092,100,76.0,8.0,2.0,14.000000000000002
0.7,0.02,0.04,3,42.15796959307718,12.551982677015781,80.0,1.5412698412698411,35.05796621397814,-13.956513510303184,105,69.52380952380952,3.8095238095238098,1.9047619047619049,24.761904761904763
0.7,0.02,0.03,3,42.15796959307718,12.551982677015781,80.0,1.5412698412698411,35.05796621397814,-13.956513510303184,105,69.52380952380952,3.8095238095238098,1.9047619047619049,24.761904761904763
