Model,Returns (2d),vs B&H,Win Rate,Trades,Sharpe
Realistic Labels,2.0442141597574723,1.9253514214440604,89.66748768472907,6.896551724137931,22.0171624887374
With Regime,2.0363987844837657,1.917536046170354,87.81198686371101,7.0,26.26503945017689
Baseline (Phase 4 Base),1.379007163887485,1.2601444255740721,66.98002189381499,4.137931034482759,13.92754082678229
Regression,0.5644928283538333,0.44563009004042087,27.586206896551722,0.41379310344827586,20.901887229542726
