window,side,entry_price,exit_price,size,pnl_pct,leveraged_pnl_pct,net_pnl,exit_reason,hold_time
1,SHORT,121406.7,119770.0,9368.45703125,1.3481134072501741,5.392453629000697,467.7158699862537,MAX_HOLD,120
1,SHORT,119770.0,117051.4,9882.36114782404,2.269850546881528,9.079402187526112,857.7298696434702,MAX_HOLD,120
1,LONG,116590.1,117040.0,9217.46902069212,0.3858818201545364,1.5435272806181457,105.40427283414061,MAX_HOLD,120
1,LONG,117040.0,118143.3,10757.121920370113,0.9426691729323333,3.7706766917293333,362.5878012708223,MAX_HOLD,120
1,LONG,118143.3,119336.9,10671.507378502763,1.0102985103683335,4.041194041473334,388.5702908014298,MAX_HOLD,120
1,SHORT,119336.9,117865.1,11237.693532671063,1.2333150936550124,4.933260374620049,509.4339079378173,MAX_HOLD,120
1,LONG,117865.1,117801.9,11326.109463038681,-0.053620622219818795,-0.21448248887927518,-69.59695932167119,MAX_HOLD,120
1,LONG,117801.9,119503.9,11817.102011261346,1.4447984285482662,5.779193714193065,635.6648085895526,MAX_HOLD,120
1,LONG,119335.5,118851.9,9230.189882634206,-0.40524403886522103,-1.6209761554608841,-186.53993663180026,MAX_HOLD,120
1,SHORT,118851.9,117512.3,12029.642211615566,1.127117025474554,4.508468101898216,494.2340130367086,MAX_HOLD,120
1,LONG,117512.3,118221.2,12426.053577634942,0.6032559995847193,2.4130239983388773,250.13944056423804,MAX_HOLD,120
1,SHORT,118221.2,118162.5,12256.900975705417,0.049652684966822444,0.19861073986728978,-24.68408219017208,WINDOW_END,102
2,SHORT,118137.8,117758.8,9233.53125,0.3208117977480535,1.283247190992214,81.55490258739609,MAX_HOLD,120
2,LONG,117758.8,117979.5,8954.944680366607,0.18741699134162124,0.749667965366485,31.31257286353219,MAX_HOLD,120
2,LONG,117979.5,118070.7,9271.06241681808,0.07730156510240939,0.30920626040963756,-8.417544267985772,MAX_HOLD,120
2,SHORT,118070.7,118726.2,7575.222496833618,-0.5551758395605345,-2.220703358242138,-198.52411036883254,MAX_HOLD,120
2,SHORT,118864.8,117944.7,7591.27371004688,0.7740727280069506,3.0962909120278024,204.68282315114982,MAX_HOLD,120
2,SHORT,117944.7,117565.2,9050.135942218634,0.3217609608570796,1.2870438434283185,80.27867369734385,MAX_HOLD,120
2,LONG,117296.1,119401.1,8820.06934919536,1.794603571644752,7.178414286579008,597.8608408520344,MAX_HOLD,120
2,SHORT,119401.1,120027.0,10095.690137649473,-0.5241995258000087,-2.096798103200035,-252.06899986178502,MAX_HOLD,120
2,SHORT,120027.0,118323.5,9930.531788714079,1.4192639989335734,5.677055995734293,524.0397231646363,MAX_HOLD,120
2,SHORT,118323.5,118189.8,10366.747973881273,0.11299530524367273,0.4519812209746909,5.388762172192514,MAX_HOLD,120
2,LONG,118189.8,117883.7,9117.326998912815,-0.25899020050800137,-1.0359608020320055,-130.92124189746903,MAX_HOLD,120
2,LONG,117883.7,118059.5,4076.8687940617183,0.14913003239633885,0.5965201295853554,8.011867837115002,WINDOW_END,116
3,LONG,118016.7,118023.5,8355.5849609375,0.005761896409578399,0.023047585638313595,-31.496579793612284,MAX_HOLD,120
3,SHORT,118023.5,116241.1,9302.306759281388,1.510207712870737,6.040830851482948,524.7273895771282,MAX_HOLD,120
3,SHORT,116241.1,116714.2,7534.237235851393,-0.40699890142126255,-1.6279956056850502,-152.79400006495305,MAX_HOLD,120
3,LONG,116714.2,117322.0,9680.665403562773,0.5207592563715494,2.0830370254861976,162.9291830553943,MAX_HOLD,120
3,LONG,117322.0,118171.3,9915.801728530107,0.723905149929257,2.895620599717028,247.46079056429446,MAX_HOLD,120
3,LONG,118080.5,118180.7,9659.133051525208,0.08485736425573832,0.3394294570229533,-5.8505893361842,MAX_HOLD,120
3,SHORT,118180.7,117980.8,9255.223030257823,0.1691477542441314,0.6765910169765256,25.599115502835716,MAX_HOLD,120
3,LONG,117980.8,119712.2,10139.628789229293,1.467526919634376,5.870107678537504,554.6486129748309,MAX_HOLD,120
3,SHORT,119712.2,118786.4,10668.383567581204,0.7733547625054114,3.0934190500216454,287.344275338611,MAX_HOLD,120
3,SHORT,118786.4,117442.0,10901.482151135839,1.1317793956210427,4.527117582484171,449.9169866109008,MAX_HOLD,120
3,LONG,117442.0,118562.1,10651.15520094972,0.953747381686284,3.814989526745136,363.73583458980283,MAX_HOLD,120
3,SHORT,118562.1,118244.7,11256.469243796422,0.2677078088191831,1.0708312352767324,75.51191167670501,WINDOW_END,118
4,SHORT,118345.5,117729.8,9369.1171875,0.5202563680072306,2.0810254720289225,157.49724422884915,MAX_HOLD,120
4,LONG,117729.8,118279.4,9505.169942977953,0.4668316772813606,1.8673267091254424,139.4718973210791,MAX_HOLD,120
4,SHORT,118279.4,117155.9,9566.25155953733,0.9498695461762572,3.7994781847050287,325.2026348604761,MAX_HOLD,120
4,LONG,117155.9,118331.4,9634.008486670617,1.0033638937518299,4.0134555750073195,348.1206167582777,MAX_HOLD,120
4,LONG,118331.4,118417.5,7489.053514074208,0.07276175216384309,0.29104700865537236,-8.1595478269838,MAX_HOLD,120
4,SHORT,118417.5,115744.7,10169.0817168447,2.2570988240758356,9.028395296303342,877.4285685334713,MAX_HOLD,120
4,LONG,115552.9,114625.2,5502.839727435812,-0.8028357574755779,-3.2113430299023116,-198.72641894344858,STOP_LOSS,61
4,LONG,114625.2,114783.3,10021.012532288463,0.1379277855131383,0.5517111420525532,15.202992557964315,MAX_HOLD,120
