side,entry_timestamp,exit_timestamp,entry_price,exit_price,entry_prob,position_size_pct,pnl_gross,pnl_net,pnl_pct,exit_reason,hold_time,fees,candle_idx
LONG,2025-09-24 07:00:00,2025-09-24 07:00:00,112603.5,112603.5,0.68994105,0.26063079923969656,0.0,-26.063079923969656,-1.0,ml_exit_long,0,26.063079923969656,103
LONG,2025-09-24 07:05:00,2025-09-24 07:05:00,112597.4,112597.4,0.7357598,0.26076719288801253,0.0,-26.008755326903355,-1.0,ml_exit_long,0,26.008755326903355,104
LONG,2025-09-24 07:10:00,2025-09-24 07:10:00,112614.4,112614.4,0.73378235,0.2455025899887085,0.0,-24.4224212946753,-1.0,ml_exit_long,0,24.4224212946753,105
LONG,2025-09-24 07:15:00,2025-09-24 07:20:00,112679.7,112507.9,0.65235484,0.21143387150764467,-31.990215445573995,-52.95587272052043,-2.523913357951818,ml_exit_long,1,20.965657274946434,107
LONG,2025-09-24 07:25:00,2025-09-24 17:25:00,112459.6,113715.8,0.83278036,0.20954772745539635,231.03967075358742,210.2406379767361,10.164648460424837,emergency_max_hold,120,20.799032776851305,228
SHORT,2025-09-24 17:30:00,2025-09-25 03:30:00,113840.0,112451.4,0.8640762,0.23888585944780427,293.7428515239808,269.8081399038766,11.20392041461709,emergency_max_hold,120,23.934711620104164,349
SHORT,2025-09-25 07:10:00,2025-09-25 17:10:00,111553.6,110123.0,0.70597625,0.25910959935963795,343.9407248457719,317.29330051844556,11.830740558798652,emergency_max_hold,120,26.647424327326355,513
LONG,2025-09-25 17:15:00,2025-09-25 18:00:00,110093.4,108737.6,0.71663326,0.24831517787258683,-326.22423363293274,-352.55111638486125,-13.308840493617073,emergency_stop_loss,9,26.326882751928487,523
LONG,2025-09-25 18:05:00,2025-09-25 19:30:00,108918.1,109563.6,0.85130256,0.25313025879859924,154.74756899517888,128.55894626478837,4.923508122157811,ml_exit_long,17,26.18862273039051,541
LONG,2025-09-25 21:35:00,2025-09-26 02:15:00,109042.4,109659.1,0.74376154,0.2554018855844255,150.85695648472029,124.10761104233129,4.652770390233604,ml_exit_long,56,26.749345442389,622
SHORT,2025-09-26 07:10:00,2025-09-26 14:50:00,109493.4,108830.2,0.7405153,0.25787140118126367,165.06418966050114,137.89485302165644,5.060014576220993,ml_exit_short,92,27.16933663884471,773
LONG,2025-09-26 14:55:00,2025-09-27 00:55:00,108791.1,109597.5,0.6639226,0.23864123412611005,189.3764237340074,163.73303828492678,6.4086648632102134,emergency_max_hold,120,25.643385449080625,894
SHORT,2025-09-27 03:35:00,2025-09-27 09:25:00,109638.2,109033.4,0.79224145,0.26685384820783037,160.00675871044587,131.08072205533102,4.519083677039605,ml_exit_short,70,28.926036655114853,996
LONG,2025-09-28 07:10:00,2025-09-28 17:10:00,109324.9,110286.4,0.7420193,0.262431964951412,253.90303080617377,224.90668412427857,7.7904882602224195,emergency_max_hold,120,28.99634668189519,1377
