start_idx,end_idx,regime,hybrid_return,bh_return,difference,num_trades,num_strong,num_moderate,win_rate,sharpe,max_dd
0,1440,Sideways,-0.7295431725303934,1.877632284180478,-2.6071754567108716,16,13,3,50.0,2.704675836996218,1.419615821998308
1440,2880,Sideways,0.7215060509885735,-1.9199398516340356,2.641445902622609,11,9,2,45.45454545454545,5.371414395612714,1.2466356422574776
2880,4320,Sideways,-3.0186996974517024,-0.8201022009771113,-2.198597496474591,20,14,6,40.0,-0.6675004618035149,5.838910674537484
4320,5760,Bear,-3.1222761767852534,-4.476676862179103,1.3544006853938493,14,9,5,35.714285714285715,-2.2702748578450365,2.4324683700544703
5760,7200,Bear,-3.770978964086844,-2.6072446699346106,-1.1637342941522335,12,6,6,25.0,-3.388859669066833,4.3533196512336145
7200,8640,Sideways,-1.8271591904527669,0.7528214993384328,-2.5799806897911997,17,8,9,41.17647058823529,0.1797431132544394,3.2660909060209575
8640,10080,Bull,0.003934384058811701,3.8234243843739066,-3.819490000315095,11,6,5,72.72727272727273,4.245950556515263,1.830753934173975
10080,11520,Sideways,-2.254493699050108,2.123385539553733,-4.377879238603841,9,5,4,33.33333333333333,-4.523266411968544,2.0499742067001394
11520,12960,Sideways,0.0009784467862664313,-1.4139875292337014,1.4149659760199678,5,1,4,60.0,6.104053919712254,0.5260118242869546
12960,14400,Bear,-4.76840641452849,-5.472513919015698,0.704107504487208,13,8,5,30.76923076923077,-7.948622394642506,4.783760046207646
14400,15840,Bull,2.05542672679705,7.132804185728906,-5.077377458931856,11,4,7,36.36363636363637,8.308586956419164,0.459361692910155
