start_idx,end_idx,regime,xgb_return,bh_return,difference,num_trades,win_rate,sharpe,max_dd
0,1440,Sideways,4.801442394915375,2.270613143709525,2.5308292512058497,9,77.77777777777779,12.791372692452121,0.582340697990348
1440,2880,Sideways,0.779696727259161,-2.0224330193216757,2.8021297465808366,9,66.66666666666666,2.510958114592571,2.4416566798282426
2880,4320,Sideways,4.370676878816758,-0.5914351004940368,4.962111979310794,16,68.75,4.930883722820163,2.3524054002515884
4320,5760,Bear,1.2035574881307183,-4.493761894214929,5.697319382345647,15,53.333333333333336,2.6515068716982078,1.5073902409394346
5760,7200,Bear,4.232982719377833,-3.5276730419637223,7.760655761341555,8,75.0,12.39632651107068,0.33500207752827116
7200,8640,Sideways,4.709372917646052,2.1740653023939758,2.535307615252076,11,72.72727272727273,9.169731055642977,1.0950947906474524
8640,10080,Bull,2.423921565409473,3.882065420730484,-1.458143855321011,6,100.0,48.20916663512344,0.0
10080,11520,Sideways,2.482024411866696,1.8614519495474038,0.6205724623192921,5,80.0,14.439120318544262,0.0
11520,12960,Sideways,0.6149169370795061,-1.1782215588216938,1.7931384959012,3,100.0,24.29299369491223,0.0
12960,14400,Bear,2.6494607560614716,-5.201186834529879,7.85064759059135,13,61.53846153846154,8.849370916989995,0.711750954134372
14400,15840,Bull,2.3820887134828626,7.248375460768837,-4.866286747285974,6,66.66666666666666,10.436356225646438,0.2554472682323543
