threshold,total_trades,wins,losses,win_rate,total_return,avg_pnl,final_capital,ml_exits,max_hold_exits,ml_exit_rate,avg_hold_time,long_trades,short_trades
0.15,3102,1918,1183,0.6183107672469375,390.45296067167635,0.0019661158205474577,3914529.606716763,3102,0,1.0,3.0538362346872985,1594,1508
0.2,2870,1795,1075,0.6254355400696864,641.6849876827886,0.002298919614924874,6426849.876827885,2870,0,1.0,3.4494773519163764,1484,1386
0.75,622,517,105,0.8311897106109325,30848.146300288932,0.017207656286892574,308491463.00288934,584,38,0.9389067524115756,25.655948553054664,377,245
