window,side,entry_idx,entry_price,exit_idx,exit_price,exit_reason,hold_time,position_size,gross_pnl,fees,net_pnl,leveraged_pnl_pct
1,SHORT,0,121406.7,120,119770.0,MAX_HOLD,120,9500.0,512.2830947550661,9.5,502.78309475506614,0.053924536290006965
1,SHORT,120,119770.0,240,117051.4,MAX_HOLD,120,9977.643940017313,905.9104221534984,9.977643940017312,895.9327782134811,0.09079402187526112
1,SHORT,240,117051.4,274,118060.0,STOP_LOSS,34,10828.780079320119,-373.23458200422505,10.828780079320119,-384.06336208354514,-0.03446690940902906
1,SHORT,274,118060.0,394,117828.2,MAX_HOLD,120,10463.91988534075,82.17979432227736,10.46391988534075,71.71587443693662,0.007853633745553206
1,SHORT,394,117828.2,507,118717.4,STOP_LOSS,113,10532.049966055842,-317.92385285752727,10.532049966055842,-328.45590282358313,-0.030186322119831997
1,SHORT,507,118717.4,585,119641.1,STOP_LOSS,78,10220.016858373438,-318.0740000060535,10.220016858373437,-328.2940168644269,-0.031122649249394334
1,SHORT,585,119641.1,705,118950.8,MAX_HOLD,120,9908.137542352231,228.6701591839518,9.90813754235223,218.76202164159957,0.02307902551882264
1,SHORT,705,118950.8,825,118271.0,MAX_HOLD,120,10115.961462911751,231.24957890110662,10.115961462911752,221.13361743819488,0.022859871476274322
1,SHORT,825,118271.0,907,119302.0,STOP_LOSS,82,10326.038399478035,-360.05937515914655,10.326038399478035,-370.3854135586246,-0.03486907187729875
1,SHORT,907,119302.0,947,120544.8,STOP_LOSS,40,9974.172256597343,-415.6141986051938,9.974172256597344,-425.58837086179113,-0.04166904159192647
1,SHORT,947,120544.8,1067,119890.4,MAX_HOLD,120,9569.86330427864,207.80717364233132,9.569863304278641,198.23731033805268,0.021714748375707908
1,SHORT,1067,119890.4,1187,117643.7,MAX_HOLD,120,9758.18874909979,731.4588211433934,9.75818874909979,721.7006323942936,0.07495846206201655
1,SHORT,1187,117643.7,1307,118235.0,MAX_HOLD,120,10443.80434987437,-209.97032606355447,10.44380434987437,-220.41413041342884,-0.02010477399129755
1,SHORT,1307,118235.0,1427,118294.8,MAX_HOLD,120,10234.410925981612,-20.705130405505315,10.234410925981612,-30.93954133148693,-0.0020230896096757444
2,SHORT,0,118137.8,120,117758.8,MAX_HOLD,120,9500.0,121.90848314426034,9.5,112.40848314426034,0.012832471909922141
2,SHORT,120,117758.8,240,117979.5,MAX_HOLD,120,9606.788058987046,-72.01901257887862,9.606788058987046,-81.62580063786567,-0.00749667965366485
2,SHORT,240,117979.5,308,118887.8,STOP_LOSS,68,9529.243548381075,-293.45477527857156,9.529243548381075,-302.98401882695265,-0.030795180518649524
2,SHORT,308,118887.8,428,117522.4,MAX_HOLD,120,9241.40873049547,424.5421138457805,9.24140873049547,415.300705115285,0.04593911233953387
2,SHORT,428,117522.4,441,118450.8,STOP_LOSS,13,9635.944400354992,-304.48700099009756,9.635944400354992,-314.12294539045257,-0.031599082387698305
2,SHORT,441,118450.8,488,119369.4,STOP_LOSS,47,9337.527602234062,-289.6545352302265,9.337527602234063,-298.99206283246053,-0.031020474323516303
2,SHORT,488,119369.4,608,118003.9,MAX_HOLD,120,9053.485142543224,414.2614091096302,9.053485142543224,405.207923967087,0.045757120334021954
2,SHORT,608,118003.9,728,117178.6,MAX_HOLD,120,9438.432670311959,264.04342510063987,9.43843267031196,254.6049924303279,0.027975346577527975
