step,portfolio_value,balance,unrealized_pnl
69,9999.195477536105,9999.227667772042,-0.032190235937598205
70,9999.162121954352,9999.195419980524,-0.03329802617104833
71,9999.161492933232,9999.195419980524,-0.03392704729211096
72,9999.160614340977,9999.195419980524,-0.03480563954622696
73,9999.16261600333,9999.195419980524,-0.03280397719337143
74,9999.132555472288,9999.162558140844,-0.030002668557059423
75,9999.099376702894,9999.132499010615,-0.03312230772022524
76,9999.101085501163,9999.132499010615,-0.031413509452075036
77,9999.06997899466,9999.10102833399,-0.031049339329354622
78,9999.03933615951,9999.069922009592,-0.030585850082255457
79,9999.00573180891,9999.039279406214,-0.03354759730410168
80,9999.00640921627,9999.039279406214,-0.032870189942957255
81,9998.972426820028,9999.006351320675,-0.03392450064789634
82,9998.97146164187,9999.006351320675,-0.034889678805316834
83,9998.976256972926,9999.006351320675,-0.030094347748793736
84,9998.947453292449,9998.976200465408,-0.028747172959149324
85,9998.91882855073,9998.947397458594,-0.028568907864111058
86,9998.88910120121,9998.918772806019,-0.02967160480913192
87,9998.891405914224,9998.918772806019,-0.027366891794711447
88,9998.866303871675,9998.89135077059,-0.025046898915002655
89,9998.841829463729,9998.866249888166,-0.024420424438154648
90,9998.821799263209,9998.841775793493,-0.019976530283278275
91,9998.803273804977,9998.821747815173,-0.018474010196528896
92,9998.78213369448,9998.803223108285,-0.0210894138051582
93,9998.781092116997,9998.803223108285,-0.02213099128902359
94,9998.77769234697,9998.803223108285,-0.025530761315820494
95,9998.780860372373,9998.803223108285,-0.022362735912572897
96,9998.757922933122,9998.780807731098,-0.022884797976612907
97,9998.757273538848,9998.780807731098,-0.023534192251394217
98,9998.752424728262,9998.780807731098,-0.028383002836428906
99,9998.756300720757,9998.780807731098,-0.02450701034145915
100,9998.731457319374,9998.756247007224,-0.024789687849304867
101,9998.727003238644,9998.756247007224,-0.029243768581040854
102,9998.726891186298,9998.756247007224,-0.029355820926493286
103,9998.725004122934,9998.756247007224,-0.031242884289681756
104,9998.727543127217,9998.756247007224,-0.028703880007496796
105,9998.69908393902,9998.72748731501,-0.028403375990147584
106,9998.666621576389,9998.699028277084,-0.032406700695858645
107,9998.664698860006,9998.699028277084,-0.034329417078054106
108,9998.662060536599,9998.699028277084,-0.03696774048461671
109,9998.663667469098,9998.699028277084,-0.03536080798505988
110,9998.626933451655,9998.663608328054,-0.03667487639991138
111,9998.630720311601,9998.663608328054,-0.032888016452460755
112,9998.596465415512,9998.630662407091,-0.03419699157888299
113,9998.598133467473,9998.630662407091,-0.03252893961817014
114,9998.564591811324,9998.598075742522,-0.033483931198731026
115,9998.562633441923,9998.598075742522,-0.03544230059993458
116,9998.565065487148,9998.598075742522,-0.0330102553747728
117,9998.53206602553,9998.56500752151,-0.03294149598097234
118,9998.500352653624,9998.532008094277,-0.031655440652483956
119,9998.473896198479,9998.500295365471,-0.026399166993076872
120,9998.448305684156,9998.47384153876,-0.025535854604249748
121,9998.4269583108,9998.448251456142,-0.021293145342344943
122,9998.407940691852,9998.426906204382,-0.018965512529991173
123,9998.388919143563,9998.407889749382,-0.018970605818420975
124,9998.387869926148,9998.407889749382,-0.02001982323493025
125,9998.386064355398,9998.407889749382,-0.02182539398324402
126,9998.382399734373,9998.407889749382,-0.02549001500838259
127,9998.381355610245,9998.407889749382,-0.026534139136462614
128,9998.382580546113,9998.407889749382,-0.02530920326913025
129,9998.354176534976,9998.382526431438,-0.028349896461635993
130,9998.353002531994,9998.382526431438,-0.029523899444671944
131,9998.35069781898,9998.382526431438,-0.031828612459092416
132,9998.352258911882,9998.382526431438,-0.030267519555402196
133,9998.324983131339,9998.352202317768,-0.02721918643025202
134,9998.295269189975,9998.324928061564,-0.02965887158805768
135,9998.29439569101,9998.324928061564,-0.030532370553744418
136,9998.293178395075,9998.324928061564,-0.031749666488432346
137,9998.289735332097,9998.324928061564,-0.03519272946688123
138,9998.289788811626,9998.324928061564,-0.035139249938370185
139,9998.255402910936,9998.28972978137,-0.034326870433839474
140,9998.221834889277,9998.255344286918,-0.033509397640879506
141,9998.188761325378,9998.221776674041,-0.03301534866320261
142,9998.15590447329,9998.188703357195,-0.03279888390494217
