config_name,lookahead,lookahead_min,threshold,threshold_pct,f1_score,recall,precision,mean_prob,prob_gt_03,prob_gt_04,prob_gt_05
lookahead3_thresh1,3,15,0.001,0.1,0.33205898416166035,0.4193103448275862,0.27486437613019893,0.424949,0.7768115942028986,0.5594202898550724,0.32057971014492753
lookahead3_thresh1,3,15,0.0015,0.15,0.26141078838174275,0.4144736842105263,0.19090909090909092,0.37444144,0.6023188405797102,0.44115942028985505,0.28695652173913044
lookahead5_thresh1,5,25,0.0015,0.15,0.2907542579075426,0.38548387096774195,0.2333984375,0.3795093,0.6095652173913043,0.45014492753623186,0.29681159420289854
lookahead5_thresh2,5,25,0.002,0.2,0.23876197494473106,0.3624161073825503,0.17802197802197803,0.3485721,0.5530434782608695,0.4081159420289855,0.263768115942029
