open,high,low,close,volume,timestamp
125180.4,125205.4,125136.2,125157.9,107.6739,2025-10-06 16:45:00
125158.1,125217.8,125025.0,125194.8,1101.6467,2025-10-06 16:50:00
125194.8,125466.5,125194.6,125431.3,296.1708,2025-10-06 16:55:00
125427.6,125439.0,125295.9,125368.6,324.0896,2025-10-06 17:00:00
125368.6,125584.2,125334.5,125530.7,276.3285,2025-10-06 17:05:00
125530.9,125615.3,125267.2,125391.3,372.9116,2025-10-06 17:10:00
125391.1,125481.8,125351.4,125430.0,202.4464,2025-10-06 17:15:00
125431.7,125790.0,125431.5,125749.2,448.2408,2025-10-06 17:20:00
125752.0,125771.0,125473.9,125597.3,329.1012,2025-10-06 17:25:00
125597.3,125664.6,125266.4,125284.4,296.1764,2025-10-06 17:30:00
125284.4,125301.9,125070.5,125182.2,291.4681,2025-10-06 17:35:00
125182.0,125229.9,125067.5,125110.9,139.1015,2025-10-06 17:40:00
125111.1,125220.7,125075.3,125220.7,158.1698,2025-10-06 17:45:00
125220.5,125439.5,125174.1,125375.1,218.0406,2025-10-06 17:50:00
125374.9,125389.0,125230.8,125237.8,156.0352,2025-10-06 17:55:00
125238.0,125238.0,124993.1,125096.8,288.6305,2025-10-06 18:00:00
125096.8,125258.4,125096.8,125154.0,209.1947,2025-10-06 18:05:00
125154.2,125230.5,125114.4,125207.6,98.5476,2025-10-06 18:10:00
125207.4,125334.9,125207.4,125304.0,92.9127,2025-10-06 18:15:00
125304.0,125366.5,125178.2,125212.4,194.5151,2025-10-06 18:20:00
125208.5,125213.1,125094.5,125176.5,111.5783,2025-10-06 18:25:00
125176.8,125368.8,125160.0,125286.1,111.1433,2025-10-06 18:30:00
125286.1,125400.9,125280.9,125309.8,126.5231,2025-10-06 18:35:00
125309.8,125436.3,125256.4,125398.3,63.4081,2025-10-06 18:40:00
125398.1,125709.5,125379.1,125687.2,280.7236,2025-10-06 18:45:00
125687.2,125942.5,125686.0,125881.1,689.5661,2025-10-06 18:50:00
125880.9,126185.6,125821.1,125977.6,1862.2651,2025-10-06 18:55:00
125983.4,126082.9,125629.3,125763.4,558.5715,2025-10-06 19:00:00
125772.5,125905.5,125624.8,125724.3,325.2038,2025-10-06 19:05:00
125724.5,125724.9,125577.3,125594.8,153.6097,2025-10-06 19:10:00
125594.8,125648.6,125365.2,125531.9,211.321,2025-10-06 19:15:00
125532.1,125646.1,125402.2,125646.1,146.4357,2025-10-06 19:20:00
125646.1,125818.2,125605.9,125616.9,115.5706,2025-10-06 19:25:00
125617.1,125726.1,125556.5,125613.0,101.957,2025-10-06 19:30:00
125612.8,125613.0,125382.9,125406.1,101.9103,2025-10-06 19:35:00
125406.1,125406.1,125178.3,125323.5,280.9908,2025-10-06 19:40:00
125323.7,125440.6,125218.5,125333.4,223.6492,2025-10-06 19:45:00
125333.2,125375.9,125223.9,125254.2,77.7497,2025-10-06 19:50:00
125254.2,125375.9,125233.4,125343.1,87.7981,2025-10-06 19:55:00
125343.3,125343.3,125250.0,125288.2,94.2164,2025-10-06 20:00:00
125288.2,125488.3,125287.6,125381.1,102.2166,2025-10-06 20:05:00
125381.1,125436.3,125301.4,125301.6,65.0005,2025-10-06 20:10:00
125301.6,125311.3,125043.1,125138.2,169.7164,2025-10-06 20:15:00
125138.2,125151.4,125029.3,125104.0,83.4568,2025-10-06 20:20:00
125104.0,125127.5,124975.7,125075.3,181.4972,2025-10-06 20:25:00
125075.5,125262.2,125032.7,125249.5,102.1749,2025-10-06 20:30:00
125249.7,125274.1,125184.9,125202.8,68.5431,2025-10-06 20:35:00
125202.8,125204.0,125139.0,125150.0,88.481,2025-10-06 20:40:00
125150.0,125232.6,125115.3,125218.1,57.793,2025-10-06 20:45:00
125218.1,125263.4,125154.9,125161.2,59.3181,2025-10-06 20:50:00
